# ==================== 科技树完整表 ====================
科技ID,科技名称,分支,等级,前置科技,研发时间_天,花费_金,解锁效果1,解锁效果2,解锁兵种/建筑,解锁政策卡,历史参考
TECH_AGRI_01,铁犁牛耕,农业,T1,无,60,3000,农业产出+20%,解锁铁犁(农具),无,无,战国铁农具普及
TECH_AGRI_02,轮作休耕,农业,T2,铁犁,90,5000,农业产出+15%,土地退化速度-50%,无,无,古代轮作技术
TECH_AGRI_03,水利灌溉,农业,T3,轮作,120,8000,解锁水利工程,旱灾概率-30%,水利工程(建筑),无,西门豹治邺
TECH_AGRI_04,都江堰模式,农业,T4,水利,180,20000,农业产出+25%,洪水概率-50%(限1条河流),都江堰(超级工程),无,李冰父子
TECH_AGRI_05,郑国渠,农业,T5,都江堰,210,30000,关中农业产出+40%(秦国专属),无,郑国渠(超级工程),无,韩国"疲秦计"
TECH_AGRI_06,良种选育,农业,T4,轮作+水利,150,12000,粮食质量+15%,人口承载力+20%,无,无,选种技术
TECH_AGRI_07,梯田技术,农业,T3,水利,120,7000,丘陵/山地可开发农田,无,梯田(新农田类型),无,南方山区开发
TECH_AGRI_08,农政全书,农业,T5,良种+梯田,240,25000,全国农业产出+15%,解锁农业政策额外槽,无,农业政策槽+1,集大成
TECH_MIL_01,铁兵器,军事,T1,无,60,3000,武器伤害+15%,解锁T2兵种,铁制武器,无,战国铁兵器取代青铜
TECH_MIL_02,弩机,军事,T2,铁兵器,90,5000,弩破甲+20%,解锁弩兵,弩兵,无,韩国劲弩
TECH_MIL_03,骑兵革新,军事,T2,无,90,6000,骑兵冲锋+25%,解锁重骑兵,重骑兵,无,赵武灵王胡服骑射
TECH_MIL_04,连弩,军事,T3,弩机,150,12000,解锁连弩兵(3连发),射速+60%,连弩兵,无,诸葛亮改良(后世)
TECH_MIL_05,攻城器械,军事,T3,铁兵器+骑兵,180,18000,解锁投石机/冲车/井阑,无,投石机/冲车/井阑,无,战国攻城技术进步
TECH_MIL_06,精铁甲,军事,T3,铁兵器,120,10000,士兵防御+25%,解锁T3兵种,精铁甲装备,无,铁甲取代铜甲
TECH_MIL_07,筑城术,军事,T4,攻城器械,150,10000,解锁高级城防(砖石城墙),城防上限+50%,砖石城墙,无,筑城技术
TECH_MIL_08,火器初探,军事,T5,连弩+攻城,300,50000,解锁火药武器,火攻伤害+100%,火药武器(时代超前),无,宋代以后但游戏可架空
TECH_ECON_01,市集,经济,T1,无,30,1000,商业收入+10%,商路可见,市集(建筑),无,战国商业发展
TECH_ECON_02,商路开拓,经济,T2,市集,60,3000,商路+3,商队容量+30%,无,无,商路网
TECH_ECON_03,盐铁专营,经济,T3,商路,90,5000,国家专营收入,解锁盐铁专营,无,盐铁专营(政策),管仲创始
TECH_ECON_04,均输平准,经济,T4,盐铁,120,8000,物价控制+,灾荒时物价不暴涨,无,均输平准(政策),桑弘羊
TECH_ECON_05,货币统一,经济,T4,均输,180,15000,国家内部货币统一,交易成本-20%,无,货币统一(政策),秦始皇统一货币
TECH_ECON_06,钱庄体系,经济,T4,货币统一,150,10000,解锁钱庄(借贷/存储),利息收入,钱庄(建筑),无,金融萌芽
TECH_ECON_07,海贸,经济,T5,商路+造船术,200,20000,解锁海上贸易商路,海上商路收入+50%,海上商路,无,齐/楚/越沿海
TECH_ECON_08,经济全球化,经济,T5,全部经济科技,300,50000,所有商路收入+30%,跨国贸易无额外关税,无,无,架空终极经济
TECH_POL_01,郡县制,政治,T1,无,60,3000,中央集权+,地方叛乱-20%,无,郡县制(政策),商鞅变法
TECH_POL_02,集权,政治,T2,郡县,90,5000,政策槽位+1,行政效率+15%,无,无,中央集权
TECH_POL_03,察举制,政治,T3,集权,120,6000,人才选拔效率+30%,寒门入仕渠道,无,无,汉代察举
TECH_POL_04,俸禄制,政治,T3,察举,90,4000,官员贪污概率-30%,俸禄支出透明,无,无,官僚制度
TECH_POL_05,考课制,政治,T4,俸禄,150,8000,官员考核系统强化,绩效差者自动降职,无,无,绩效考核
TECH_POL_06,密折制度,政治,T4,考课,180,10000,反贪效率+50%,猜忌氛围+(官员忠诚-5),无,无,清代密折(超前)
TECH_POL_07,文字统一,政治,T4,集权,200,15000,全国行政效率+20%,外交沟通改善,无,文字统一(政策),秦始皇书同文
TECH_POL_08,车同轨书同文,政治,T5,文字统一+货币统一,360,50000,全国一体化→所有行政效率+50%,无,无,无,秦始皇统一
TECH_CUL_01,学宫,文化,T1,无,60,3000,科技研发速度+15%,人才出现+10%,学宫(建筑),无,稷下学宫
TECH_CUL_02,著书,文化,T2,学宫,90,4000,学派影响力+,科技传播速度+20%,无,无,百家著书
TECH_CUL_03,乐府,文化,T2,学宫,60,2000,民忠+5(全国),文化产品价值+20%,乐府(建筑),无,汉代乐府
TECH_CUL_04,历法,文化,T3,著书,150,8000,农业时令精确→农业产出+8%,祭祀效果+,无,历法改革(政策),阴阳家
TECH_CUL_05,医学,文化,T3,无,120,5000,瘟疫概率-40%,伤兵恢复+30%,医馆效果+,无,扁鹊/黄帝内经
TECH_CUL_06,百家争鸣,文化,T4,学宫+著书,180,10000,科技研发+30%,人才出现+40%,无,百家争鸣(政策),战国学术黄金期
TECH_CUL_07,史学,文化,T3,著书+历法,150,6000,统治合法性+20%,霸业声望获取+30%,无,无,春秋/国语
TECH_CUL_08,经学大成,文化,T5,百家争鸣+史学,300,25000,所有文化产出+25%,文化胜利条件解锁,无,无,汉代经学
TECH_CRAFT_01,冶铁术,工艺,T1,无,60,3000,解锁铁器打造,武器品质上限+1级,冶铁坊(建筑),无,冶铁技术
TECH_CRAFT_02,炼钢,工艺,T2,冶铁,120,8000,解锁百炼钢,可锻紫品质武器,炼钢坊(建筑),无,百炼钢技术
TECH_CRAFT_03,铸造,工艺,T2,冶铁,90,5000,大型铸件(钟/鼎/兵器量产),兵器成本-20%,无,无,青铜铸造
TECH_CRAFT_04,纺织,工艺,T1,无,60,2000,丝绸/布帛产出+30%,奢侈品种类+,纺织坊(建筑),无,纺织技术
TECH_CRAFT_05,造船术,工艺,T3,铸造,150,10000,解锁大型战舰(楼船),水军实力+,造船厂(建筑),无,造船技术
TECH_CRAFT_06,陶瓷,工艺,T1,无,60,2000,陶器→瓷器(奢侈品+日常),商业+5%,陶瓷坊(建筑),无,陶瓷发展
TECH_CRAFT_07,织造精进,工艺,T3,纺织,120,5000,锦缎/刺绣,奢侈品价值+50%,无,无,高级纺织
TECH_CRAFT_08,终极工艺,工艺,T5,炼钢+造船+织造,360,50000,所有工艺产出+30%,可锻金品质装备/可造终极工程,金品质装备/终极工程,无,架空终极

# ==================== 中央官职表 ====================
官职ID,官职名称,品级,俸禄_金_月,职责,需要属性1,需要属性2,名额,全国影响
OFF_CEN_01,相国/丞相,一品,3000,总领百官/全国政策执行效率+20%,智略,魅力,1~2人,全局
OFF_CEN_02,大良造/上将军,一品,3000,总领全国军事/全军士气+10,统率,武勇,1人,全局
OFF_CEN_03,御史大夫,二品,2000,监察百官(降低贪污)/反间谍+20%,智略,信义声望≥40,1人,全局
OFF_CEN_04,廷尉,二品,1500,掌管刑律/治安+10(全国),智略,无,1人,全局
OFF_CEN_05,治粟内史,二品,1800,掌管财政/全国税收效率+15%,经营,无,1人,全局
OFF_CEN_06,奉常,三品,1200,掌管礼仪祭祀/文化影响力+20%,魅力,智略,1人,全局
OFF_CEN_07,典客,三品,1000,掌管外交/外交成功率+10%,魅力,无,1人,全局
OFF_CEN_08,宗正,三品,1000,掌管宗室事务/王族忠诚+20%,魅力,无,1人,全局
OFF_CEN_09,郎中令,三品,1200,掌管宫廷警卫/君主安全+,忠诚≥90,武勇≥60,1人,君主
OFF_CEN_10,少府,三品,1500,掌管君主私库/工艺-奢侈品产出+15%,经营,工艺,1人,君主
