# ==================== 七国君主AI配置表 ====================
国家,君主,AI人格,风险偏好(0-100),信任倾向(0-100),侵略性(0-100),外交活跃度(0-100),经济优先权重,军事优先权重,外交优先权重,文化优先权重,科技优先权重,长期目标,特殊行为标签
秦,秦王,实用扩张型,85,15,90,70,20,60,15,0,5,统一天下,远交近攻/连横/军国主义/背盟倾向高
楚,楚王,保守文化型,30,55,40,40,35,20,15,25,5,保境安民,吞并小国/文化投入/水军优先/不轻易出战
齐,齐王,商业和平型,15,80,10,50,60,5,20,10,5,富甲天下,中立通商/出钱不出兵/信用极高/稷下学宫
赵,赵王,多疑军事型,70,30,75,45,25,50,20,0,5,骑兵立国,骑兵专精/善变/胡服骑射/边境扩张
燕,燕王,偏安保守型,10,60,20,25,30,10,20,15,25,偏安一隅,联赵或联齐/耐寒/黄金台/不主动扩张
魏,魏王,精明务实型,50,45,55,50,30,25,25,10,10,恢复霸权,反复横跳/人才优先/四面受敌/务实外交
韩,韩王,恐惧求生型,5,75(对强者),5,60,15,5,50,10,20,夹缝生存,依附强者/劲弩防御/冶铁技术/频繁换宗主
周,周天子,象征礼仪型,0,95,0,15,10,0,35,40,15,名义共主,仪式/礼法/会盟地/无力干预

# ==================== AI行为决策权重表 ====================
行为类别,行为名称,秦王权重,楚王权重,齐王权重,赵王权重,燕王权重,魏王权重,韩王权重,说明
经济,开发农业,3,6,4,4,7,5,3,权重越高越频繁执行
经济,发展商业,2,3,9,3,4,5,2,
经济,修建防御,6,4,1,5,6,4,6,
经济,投资科技,4,3,5,3,5,6,7,
经济,储备资源,3,5,6,3,5,4,2,
军事,征兵,8,3,1,7,2,4,2,
军事,训练军队,7,4,2,6,3,5,3,
军事,进攻邻国,9,3,1,7,1,4,1,
军事,防守边境,5,5,4,6,8,6,8,
军事,清剿流寇,3,5,7,4,6,4,3,
外交,寻求同盟,6,3,5,5,7,8,9,
外交,派遣使者,5,4,6,4,5,6,7,
外交,臣服大国,0,1,1,2,3,3,8,
外交,接受朝贡,8,7,5,6,4,6,1,
外交,背盟,7,2,1,5,1,4,1,
人事,赏赐将领,4,5,8,3,3,6,2,
人事,考核官员,6,3,5,3,3,5,4,
人事,处决不忠,9,4,1,6,2,4,1,
人事,招揽人才,5,5,7,3,5,9,4,
科技,研发军事科技,9,3,1,8,3,5,3,
科技,研发经济科技,2,4,9,3,4,5,3,
科技,研发农业科技,3,5,3,3,6,4,4,
科技,研发工艺科技,3,5,4,3,3,5,8,

# ==================== AI难度配置表 ====================
难度等级,名称,AI决策质量(0-100),AI反应延迟_秒,AI计谋使用概率(%),AI伏击概率(%),AI外交成功率加成(%),AI资源收入加成(%),AI征兵成本减免(%),玩家收入修正(%),玩家受伤恢复修正(%),AI士兵士气加成,合纵反玩家概率(%),推荐玩家类型
1,简单,40,3.0,0,0,-10,0,0,+30,+50,-10,0,新手/休闲
2,普通,60,1.5,30,30,0,5,-5,0,+20,0,10,标准玩家
3,困难,80,0.5,70,60,+10,15,-15,-10,0,+5,30,策略老手
4,极难,95,0.1,90,80,+20,25,-25,-25,-15,+10,60,骨灰级挑战

# ==================== 动态难度阈值表 ====================
动态难度调节参数,低阈值(触发帮助),高阈值(触发惩罚),帮助效果,惩罚效果,调节幅度上限(%)
玩家战胜率(近10场),<30%,>80%,AI侵略性-10%,AI侵略性+15%,±30
玩家扩张速度(城池/年),<1,>5,AI边防松懈-10%,AI合纵倾向+20%,±25
玩家经济增长率(%),<5%,>20%,AI贸易机会+10%,AI贸易封锁倾向+15%,±20
玩家外交成功率(%),<25%,>75%,AI接受条件更宽松+10%,AI更加警惕+15%,±25
玩家总国力排名,末位,首位,AI不太防备,AI联合反制+30%,±30
