# ==================== 头盔表 ====================
头盔ID,名称,品质,材质,防御值,减伤率%,重量_石,视野惩罚%,耐久,基础价值_金,特别要求,国家来源,特殊效果,描述
HELM_01,布巾,白,麻布,2,2,0.1,0,100,15,无,通用,无,最简单的头部防护
HELM_02,皮盔,白,皮革,6,5,0.4,-3,160,60,无,通用,无,鞣制皮革缝制的头盔
HELM_03,铜盔,绿,铜,12,10,1.2,-8,250,200,无,通用,无,青铜浇铸的圆盔
HELM_04,铁盔,绿,铁,18,15,1.5,-10,300,350,武勇≥20,通用,无,铁制头盔，防护良好
HELM_05,精铁盔,蓝,精铁,28,22,1.8,-10,400,700,武勇≥35,通用,头部暴击伤害-25%,精铁打造，工艺精良
HELM_06,面甲盔,蓝,精铁,30,25,2.2,-20,420,900,武勇≥45,通用,头部暴击免疫+威慑+5,带有护面的全封闭头盔
HELM_07,将军盔,紫,百炼钢,40,32,2.0,-12,600,2000,统率≥50,通用,统率+3/士气光环范围+20%,饰有缨羽的将军头盔
HELM_08,秦军盔,绿,铁,20,16,1.6,-10,350,380,统率≥25,秦国,标准化维护费-15%/编制内士兵士气+3,秦军标准化头盔
HELM_09,楚凤盔,蓝,精铁,26,20,1.5,-8,380,850,魅力≥40,楚国,魅力+2/文化影响力+5%,饰有凤鸟纹的楚国将领盔
HELM_10,赵骑盔,绿,铁+皮,16,14,1.2,-5,320,400,骑术≥35,赵国,骑乘时视野惩罚减半/耐寒,轻便的骑兵头盔
HELM_11,韩精工盔,蓝,精铁,32,24,1.6,-10,450,950,武勇≥40,韩国,暴击率+3%(精密设计)/耐久+20%,精密锻打的韩式头盔
HELM_12,燕寒盔,绿,铁+毛皮,18,18,1.8,-10,380,420,无,燕国,耐寒(寒地无额外耐久损耗)/保暖,内衬毛皮的燕地头盔
HELM_13,魏武盔,蓝,精铁,30,22,2.0,-12,420,880,统率≥40,魏国,统率+2/对箭矢防御+15%,魏武卒制式重盔
HELM_14,帝王冠,金,黄金+玉+百炼钢,45,35,1.5,-5,800,5000,霸业≥70,通用,全属性+3/霸业声望获取+20%,镶金嵌玉的帝王之冠

# ==================== 身甲表 ====================
身甲ID,名称,品质,材质,防御值,减伤率%,重量_石,移速惩罚%,耐久,基础价值_金,特别要求,国家来源,特殊效果,描述
ARMOR_01,布衣,白,麻布,5,5,0.5,0,80,20,无,通用,无,粗麻布衣，聊胜于无
ARMOR_02,皮甲,白,皮革,12,15,2.0,-3,180,120,无,通用,无,鞣制皮革缝制的护甲
ARMOR_03,铜片甲,绿,铜,25,22,7.0,-8,280,400,武勇≥15,通用,无,铜片编缀的札甲
ARMOR_04,铁札甲,绿,铁,40,30,10.0,-12,350,700,武勇≥25,通用,无,铁片编缀的扎甲，防御大幅提升
ARMOR_05,精铁鱼鳞甲,蓝,精铁,58,42,12.0,-15,500,1500,武勇≥40,通用,穿刺伤害-20%,鱼鳞状排列的精铁甲片
ARMOR_06,百炼钢明光铠,紫,百炼钢,78,55,13.0,-12,700,3500,武勇≥60+统率≥40,通用,统率+3/敌方弓箭手命中-15%(反光耀眼),明亮如镜的百炼钢铠
ARMOR_07,将军重铠,紫,百炼钢+精铁,85,60,15.0,-15,800,5000,统率≥60,通用,统率+5/全军士气+5/不会被一击必杀,将军的全覆式重铠
ARMOR_08,秦制式甲,绿,铁,42,32,9.5,-10,380,650,统率≥25,秦国,标准化维护费-20%/量产速度快+30%,秦军标准化札甲
ARMOR_09,楚犀甲,蓝,犀牛皮+精铁,50,38,8.0,-8,450,1200,无,楚国,毒抗+30%/丛林隐蔽+15%,楚地犀牛皮与精铁结合的轻甲
ARMOR_10,赵胡服轻甲,绿,皮+铁片,32,25,5.0,-5,300,600,骑术≥35,赵国,骑乘时移速不减/马上攻击+5%,胡服骑射风格的轻便甲
ARMOR_11,韩精工鳞甲,蓝,精铁,62,45,11.0,-13,520,1600,武勇≥45,韩国,工艺品质+1级(韩国精密)/耐久+25%,精密编缀的韩国鳞甲
ARMOR_12,燕寒甲,绿,铁+毛皮内衬,38,32,11.0,-12,400,700,无,燕国,耐寒(寒地无移速惩罚)/保暖,内衬厚毛皮的燕地铁甲
ARMOR_13,魏武卒重铠,蓝,精铁,65,48,14.0,-18,550,1800,武勇≥55+统率≥35,魏国,统率+3/对弓箭防御+20%,魏武卒选拔专用重铠
ARMOR_14,帝王金甲,金,金+百炼钢+玉,95,65,12.0,-8,1000,10000,霸业≥80,通用,全属性+3/魅力+8/敌方士气-10(帝王威仪),帝王的全金战甲

# ==================== 护臂/护腿表 ====================
护具ID,名称,类型,品质,防御值,减伤率%,重量_石,耐久,基础价值_金,特殊效果,描述
GAUN_01,布护腕,护臂,白,1,1,0.1,60,10,无,麻布缠绕
GAUN_02,皮护臂,护臂,白,3,3,0.3,120,40,无,鞣革护臂
GAUN_03,铜护臂,护臂,绿,6,6,0.8,180,120,无,铜制护臂
GAUN_04,铁护臂,护臂,绿,10,9,1.2,220,250,手臂缴械概率-15%,铁制护臂
