建筑ID,建筑名称,类别,子类别,建造成本_金,建造时间_天,月维护_金,占地_格,需要工人,产出/效果,前置条件,封地等级要求,科技要求,备注
B_FARM_01,农田,生产,农业,500,15,50,4×4,3,粮食+50石/月,平原/河谷地形,村庄,无,基础粮食产出
B_FARM_02,桑田,生产,农业,600,15,40,3×3,2,生丝+20石/月,平原/丘陵,村庄,无,纺织原料
B_FARM_03,牧场,生产,畜牧,500,15,50,3×3,2,肉+20石/月+皮革+5张/月,草原/平原,村庄,无,肉+皮革双产出
B_FARM_04,马场,生产,畜牧,1500,30,200,5×5,5,战马+5匹/月,草原地形,村庄,无,骑兵必需
B_MINE_01,铁矿场,生产,采矿,800,20,100,3×3,4,铁矿石+15石/月,铁矿山,村庄,无,武器产业链起点
B_MINE_02,铜矿场,生产,采矿,600,15,80,3×3,3,铜+12石/月,铜矿山,村庄,无,铸钱/铜器原料
B_MINE_03,金矿场,生产,采矿,3000,45,400,4×4,5,金矿石+5石/月,金矿山,县城,探矿术,高价值低产量
B_MINE_04,玉矿场,生产,采矿,5000,60,500,4×4,5,玉料+3石/月,玉矿脉(蓝田),县城,玉矿勘探,秦国特产，极高价值
B_MINE_05,采石场,生产,采矿,400,12,40,2×2,2,石材+25石/月,山地/丘陵,村庄,无,建材基础
B_LUMBER_01,伐木场,生产,伐木,300,10,30,2×2,2,木材+30石/月,森林,村庄,无,建材基础
B_FISH_01,渔场,生产,渔业,200,7,20,2×2,1,鱼+30石/月,河流/海岸,村庄,无,
B_SALT_01,盐田,生产,盐业,400,10,50,3×3,3,粗盐+20石/月,海岸/盐湖,村庄,无,需靠海或盐湖
B_HUNT_01,猎场,生产,狩猎,300,10,30,3×3,2,皮革+8张/月+肉+15石/月,森林,村庄,无,

# === 加工建筑 ===
B_REFINE_01,冶铁坊,加工,冶金,1500,20,150,2×2,3,铁矿石→精铁(3:1),无,村庄,冶铁术,
B_REFINE_02,炼钢坊,加工,冶金,5000,45,500,3×3,5,精铁→百炼钢(5:1),冶铁坊已建,县城,百炼钢术,高级加工
B_REFINE_03,兵器坊,加工,锻造,2000,25,200,2×2,3,精铁→兵器,冶铁坊已建,村庄,兵器锻造,
B_REFINE_04,制甲坊,加工,锻造,2500,30,250,3×3,4,精铁+皮革→铁甲,冶铁坊+制革坊已建,乡镇,铁甲锻造,
B_REFINE_05,制弓坊,加工,木工,1200,15,100,2×2,2,木材+筋腱+皮革→弓/弩,伐木场+猎场已建,村庄,制弓术,
B_REFINE_06,制革坊,加工,皮革,600,10,50,2×2,2,生皮→鞣革(3:2),猎场/牧场已建,村庄,无,
B_REFINE_07,纺织坊,加工,纺织,800,15,60,2×2,3,生丝→丝绸/布帛,桑田已建,村庄,纺织术,
B_REFINE_08,酿酒坊,加工,酿造,600,12,50,2×2,2,粮食→酒(5:1),农田已建,村庄,酿酒术,
B_REFINE_09,磨坊,加工,食品,400,8,30,2×2,1,粮食→面粉(2:1),农田已建,村庄,无,
B_REFINE_10,制盐坊,加工,食品,600,15,50,2×2,2,粗盐→精制盐(2:1.5),盐田已建,村庄,制盐术,
B_REFINE_11,军粮坊,加工,食品,1000,20,80,2×2,3,盐+肉干→腌制军粮,制盐坊+牧场已建,乡镇,军粮腌制,延长军粮保质期
B_REFINE_12,锯木厂,加工,木工,500,10,40,2×2,2,木材→加工木材(2:1),伐木场已建,村庄,无,
B_REFINE_13,石匠坊,加工,石工,600,12,50,2×2,2,石材→加工石料(2:1),采石场已建,村庄,无,
B_REFINE_14,木工坊,加工,木工,1500,35,120,3×3,4,加工木材+精铁+皮革→战车/攻城器械,锯木厂+冶铁坊+制革坊已建,乡镇,战车制造,
B_REFINE_15,玉器坊,加工,雕琢,3000,30,200,2×2,3,玉料→玉器(1:1,损耗15%),玉矿场已建,县城,玉雕工艺,高价值
B_REFINE_16,漆器坊,加工,漆艺,1200,20,80,2×2,3,生漆→漆器(经精漆步骤),漆园已建,乡镇,漆器工艺,楚地特色
B_REFINE_17,陶瓷坊,加工,烧制,700,15,60,2×2,2,黏土→陶器,无,村庄,无,
