# ==================== 师徒关系表 ====================
关系ID,关系类型,人物A,人物B,关系强度(0-100),关系描述,游戏内影响
REL_01,师徒(同门),鬼谷子,苏秦,95,鬼谷子传授纵横术给苏秦,苏秦传授张仪时→教学速度+50%
REL_02,师徒(同门),鬼谷子,张仪,90,鬼谷子传授纵横术给张仪,张仪传授苏秦时→教学速度+50%
REL_03,师徒(同门),鬼谷子,孙膑,98,鬼谷子传授兵法给孙膑,孙膑继承鬼谷子部分智略
REL_04,师徒(同门),鬼谷子,庞涓,85,鬼谷子传授兵法给庞涓,庞涓获得鬼谷子部分智略
REL_05,同门师兄弟(敌对),孙膑,庞涓,-80,庞涓嫉妒孙膑才学→设计陷害→孙膑被膑刑,两人在同一国家→忠诚各-20/庞涓在场→孙膑统率+30(复仇驱动)
REL_06,师徒,孙膑,田忌,75,孙膑教授田忌兵法/赛马策略,田忌从孙膑学习→智略成长+30%
REL_07,师徒(法家传承),李悝,商鞅,80,李悝《法经》→商鞅携入秦→发展出商鞅变法,商鞅变法成功→李悝法家祖师地位+30%
REL_08,师徒(思想传承),荀子,韩非,88,荀子教授韩非(虽荀子是儒家但韩非成了法家),韩非著书→荀子学派矛盾但互相成就
REL_09,师徒,屈原,宋玉,82,宋玉是屈原的文学弟子,宋玉著书速度+30%/屈原去世后→宋玉继承楚辞
REL_10,受业,乐毅,乐间,70,乐间继承父亲乐毅的军事知识,乐间统率成长+20%

# ==================== 君臣/同事关系表 ====================
REL_11,君臣(理想),秦昭襄王,白起,75,秦王信任白起但最终赐死,白起战功越大→秦王猜忌越大(白起功高震主)
REL_12,君臣(信任),秦始皇,王翦,90,始皇信任王翦→灭楚前王翦故意索要田宅以示无野心,王翦与秦始皇关系→信任维持机制(索要田宅=自污保身)
REL_13,君臣(将相和),廉颇,蔺相如,95,廉颇负荆请罪→与蔺相如和解→将相和,两人同朝→赵国国力+15%/+赵国全军士气+10
REL_14,君臣(门客),平原君(赵胜),毛遂,70,毛遂自荐→被平原君赏识→出使楚国成功,毛遂完成出使任务→平原君影响力+20%
REL_15,君臣(门客),孟尝君(田文),鸡鸣狗盗之徒,65,孟尝君收留各种奇人异士→关键时刻发挥作用,孟尝君逃脱秦国→靠门客鸡鸣狗盗
REL_16,君臣(门客),信陵君(魏无忌),朱亥,78,朱亥锤杀晋鄙→助信陵君窃符救赵,信陵君可调用朱亥→执行非正规任务
REL_17,同事(对立),白起,范雎,-50,范雎嫉妒白起军功→在秦王面前进谗言→白起被赐死,两人同朝时→白起忠诚每月-2/范雎暗中削弱白起
REL_18,同事(合作),王翦,王贲,90,王翦王贲父子→灭赵燕魏楚齐,父子同军→协同作战效率+40%
REL_19,同事,蒙骜,蒙恬,85,蒙骜祖父→蒙恬孙子→蒙氏三代为秦将,蒙恬继承蒙骜军事遗产(统率基础+5)
REL_20,同事(世家),白起家族,王翦家族,40,秦国两大军事世家→竞争但也互相尊重,两家族将领同朝→良性竞争→各自统率+2

# ==================== 敌对/仇恨关系表 ====================
REL_21,世仇(国家),白起(秦),廉颇(赵),10,各为其主→长平之战交锋,战场上相遇→各自士气+15(名将对决的荣誉感)
REL_22,世仇(国家),白起(秦),赵括(赵),5,长平之战→白起大破赵括→坑杀40万赵卒,赵括对白起→恐惧+30%/白起对赵括→蔑视(攻击+10%)
REL_23,世仇(国家),王翦(秦),项燕(楚),15,王翦灭楚→项燕兵败自杀,王翦对项燕→"可敬的对手"(俘虏不杀的优待选项)
REL_24,世仇(国家),李牧(赵),王翦(秦),20,李牧屡败秦军→王翦使用反间计→赵王杀李牧,李牧被反间计陷害→王翦使用反间计的技能成功率+20%
REL_25,世仇(国家),田单(齐),骑劫(燕),5,即墨之战→田单火牛阵大破骑劫,骑劫对田单→恐惧+50%/兵力优势被无视
REL_26,世仇(国家),乐毅(燕),田单(齐),25,乐毅下齐70余城→田单复齐→两人一生对手,相遇→双方智略+10(惺惺相惜但各为其主)
REL_27,世仇(复仇),荆轲(燕),秦始皇(秦),-100,荆轲刺秦王→图穷匕见→失败被杀,荆轲在场→秦始皇护卫+200%警觉/荆轲伤害×2(悲愤)
REL_28,世仇(复仇),张良(韩),秦始皇(秦),-90,张良为韩复仇→博浪沙刺秦→失败,张良对秦国→所有计谋成功率+30%(复仇驱动)
REL_29,世仇(背叛),吴起(魏→楚),魏国贵族,-80,吴起在魏被杀妻求将→在楚被贵族射杀,吴起在贵族势力强的国家→忠诚持续-5/月
REL_30,世仇(个人),范雎(秦),须贾(魏),-70,须贾诬陷范雎→范雎逃秦→后成为秦相→羞辱须贾,范雎遇到须贾→可选择"绨袍之赠"(原谅)或"马食之辱"(羞辱)

# ==================== 家族/血缘关系表 ====================
REL_31,父子,王翦,王贲,95,王翦之子→继承父亲军事才能,王翦死亡→王贲统率+5(继承遗产)
REL_32,祖孙,蒙骜,蒙恬,90,蒙骜之孙→蒙氏三代为秦将,蒙恬继承蒙骜部分统率经验
REL_33,父子,赵奢,赵括,75,赵括是赵奢之子→但赵括纸上谈兵→不如父亲,赵括的统率受赵奢声望影响(+20%/但实战-30%)
REL_34,兄弟,苏秦,苏代,82,苏代为苏秦之弟→继承合纵事业,苏秦死亡→苏代自动获得"合纵之主"技能(NERF版)
REL_35,父子,乐毅,乐间,72,乐间为乐毅之子→袭爵昌国君,乐毅死亡→乐间统率+3(继承)
REL_36,宗室,信陵君(魏无忌),魏安釐王,60,信陵君是魏王之弟→关系紧张(功高震主),信陵君功高→魏王猜忌→信陵君被削权

# ==================== 跨时代/精神传承关系表 ====================
REL_37,精神传承,孙武(春秋),孙膑(战国),90,孙膑是孙武后代→继承《孙子兵法》→著《孙膑兵法》,孙膑获得孙武兵法→智略基础+5(血脉+buff)
REL_38,精神传承,李悝(魏变法),商鞅(秦变法),88,商鞅以李悝《法经》为蓝本→在秦国推行变法,商鞅变法成功→李悝作为法家祖师的历史地位提升
REL_39,精神传承,吴起(魏武卒),商鞅(变法),55,吴起在魏的军制改革→启发商鞅在秦的变法,两国变法经验可互相参考→但两人无直接交集
REL_40,精神传承,管仲(春秋齐),晏婴(战国齐),70,晏婴继承管仲的治国理念→但风格不同,晏婴治理效果参考管仲→但更注重节俭与外交
