# ==================== 任务模板汇总表 ====================
模板ID,来源,任务类型,难度范围,基础金奖励,耗时_天,冷却_天,生成条件,是否可重复,失败惩罚,关联系统,描述模板
# --- 酒馆 ---
TAV_01,酒馆,护送,1-4,200-3000,3-15,3,两城间商路存在+目标NPC,X,报酬扣除+发布者好感-10,商队系统,"护送[NPC]从[出发城]到[目标城]，沿途防范[威胁]"
TAV_02,酒馆,讨伐,1-5,300-5000,1-7,5,区域内有流寇/野兽,X,受伤/损失兵力,战斗系统,"清除[地点]附近的[敌人]，他们已[为害描述]"
TAV_03,酒馆,寻人,1-3,100-1500,2-10,7,有NPC失踪/隐藏,X,无(但可能发现坏消息),NPC系统,"寻找失踪的[NPC]，最后出现在[地点]"
TAV_04,酒馆,送货,1-2,100-800,1-5,1,两市城有差价商品,X,货物损失赔偿,经济系统,"将[数量][商品]从[A城]运到[B城]"
TAV_05,酒馆,讨债,1-3,债务30-50%,1-5,7,有NPC欠债,X,无(讨不回而已),NPC系统,"向[NPC]讨回欠[债主]的[金额]金"
TAV_06,酒馆,情报收集,2-4,500-2000,3-10,14,邻国有隐藏情报,X,暴露→被通缉,间谍系统,"打探[目标国]的[情报类型]"
TAV_07,酒馆,保镖,2-5,500-4000,2-7,10,重要NPC需要保护,X,NPC死亡→巨额赔偿,NPC系统,"在[天数]内保护[NPC]免受[威胁]暗杀"
TAV_08,酒馆,调解,2-4,300-2000,3-7,14,NPC关系<敌对,X,调解失败→关系更差,NPC系统,"调解[NPC_A]和[NPC_B]的争端"

# --- 官府 ---
GOV_01,官府,剿匪,2-5,仁义+5~15,2-10,10,流寇>阈值,X,剿匪失败→该区域治安更差,战斗系统,"[区域]流寇猖獗，率兵清剿。贼首[首领]据守[地点]"
GOV_02,官府,征税,1-2,民忠-2~5,3-7,3,税收完成率<80%,X,无(强行征收),经济系统,"前往[村庄]征收拖欠税款[金额]金"
GOV_03,官府,调查,1-4,特殊,2-10,14,有未解决的神秘事件,X,调查失败→事件恶化,事件系统,"调查[事件]。目击者称[线索]"
GOV_04,官府,平叛,3-5,仁义±10~30,5-20,30,民忠<30触发叛乱,X,平叛失败→领土丢失,战斗+内政,"[城池]爆发叛乱，选择镇压/安抚"
GOV_05,官府,外交出使,2-4,信义+5~10,5-15,30,有外交需求,X,出使失败→外交关系恶化,外交系统,"出使[目标国]，交涉[议题]"
GOV_06,官府,城防检查,1-3,无,3-7,14,某城近期被攻击过,X,无,战斗系统,"检查[城池]城防工事，评估修复需求"

# --- 商会 ---
MER_01,商会,长途贸易,1-4,利润50-200%,5-20,无冷却,商路+物价差>30%,X,货物损失+赔偿,经济系统,"购买[商品A]运到[城B]高价卖出"
MER_02,商会,投资谈判,2-4,分红/月,3-10,10,有可投资商铺,X,谈判失败→无法再谈,经济系统,"前往[城池]与[NPC]洽谈投资[商铺]"
MER_03,商会,商路开辟,3-5,持续收益,10-30,60,未开发商路存在,X,探索失败→浪费时间+金,探索系统,"探索并标记从[A]到[B]的安全商路"
MER_04,商会,垄断操作,3-5,垄断利润,长期,30,经营≥50,X,垄断失败→损失大量金,经济系统,"囤积[商品]→制造稀缺→高价出售"
MER_05,商会,危机供应,2-4,利润100-300%,3-10,7,某城某商品紧缺,X,无法按时供应→信用降,经济系统,"[城池]急需[商品]，在[X]天内供应[数量]"

# --- 学宫 ---
ACA_01,学宫,辩论,2-5,智略经验,1-3,3,有不同学派学者,X,辩论失败→声望-5,学派系统,"与[学派]学者[NPC]就[议题]进行辩论"
ACA_02,学宫,著书,3-5,著作完成,7-30,60,智略≥50,X,著作失败→浪费材料,学派系统,"撰写关于[主题]的著作，需要[研究材料]"
ACA_03,学宫,教学,1-3,声望+关系,15-30,15,智略≥40,X,无,学派系统,"在学宫教授[课程]，培养[X]名学生"
ACA_04,学宫,考古发掘,2-4,发现文物,5-15,30,附近有古迹,X,发掘失败→古迹损坏,探索系统,"探索[古迹]，寻找[失传文献]"
ACA_05,学宫,访学,1-3,科技传播,5-15,15,邻国有先进科技,X,无,科技系统,"前往[外国学宫]访学[学科]，带回知识"

# ==================== 人生路线里程碑表 ====================
路线,阶段,里程碑,触发条件,关键任务,奖励,分支选择,后续解锁
霸道,1,初入军营,统率≥10,投军→初阵→新兵试炼,百夫长+统率+5,无,阶段2
霸道,2,崭露头角,统率≥30+武勇≥25,独立指挥→军功积累→大战考验→名将之路,将军+封地+统率+8,无,阶段3
霸道,3,封疆大吏,统率≥55+爵位≥中卿,受封→灭国之战→功高震主→称帝,帝号+统一,效忠/自立,霸道通关
王道,1,入仕,魅力≥25+智略≥30,拜师→献策→初试锋芒,大夫+魅力+3,无,阶段2
王道,2,纵横捭阖,魅力≥45+智略≥50,合纵→和平吞并→化解危机→万国来朝,列侯+信义+25,无,阶段3
王道,3,不战而王,魅力≥70+信义≥70,天下归心→和平统一→天子,帝号+仁义永久100,使用武力/纯粹和平,王道通关
侠道,1,江湖初入,武勇≥30,酒馆初遇→名声渐起→名剑传说,侠客称号+武名+15,无,阶段2
侠道,2,侠客行,武勇≥50+武名≥30,行侠仗义→结识豪杰→豪门恩怨→荆轲路线,侠客团+政治入口,接受/拒绝荆轲,阶段3或特殊结局
侠道,3,侠之大者,武勇≥75+仁义≥50,民间领袖→起义/招安→侠道霸业,侠王结局,起义/招安,侠道通关
商道,1,白手起家,经营≥30,第一桶金→商路建立→商铺开业,行商称号+经营+8,无,阶段2
商道,2,富甲一方,经营≥55+资产≥2万,商会加入→垄断第一桶→跨国商网→投资政治,巨贾称号+政治入口,投资/不投资,阶段3
商道,3,富可敌国,经营≥80+资产≥10万,幕后之手→吕不韦选择→商道天下,陶朱公成就,投资王子/不投资,商道通关
匠道,1,学徒,工艺≥25,拜师学艺→第一件作品→修复古物,匠人称号+工艺+13,无,阶段2
匠道,2,名匠,工艺≥50,名匠之作→宫廷征召→技术革新→工坊帝国,名匠称号+工艺+18,接受征召/拒绝,阶段3
匠道,3,宗师,工艺≥80,神兵出世→名剑重铸→改变战争格局,改变世界的人,重铸/原创,匠道通关
隐道,1,求学,智略≥30,拜入师门→游学四方→初试小论,学派声望+智略+10,无,阶段2
隐道,2,名士,智略≥55+学派≥3,著书立说→学宫辩论→收徒传道→经世致用,辩才称号+文化影响,学说被采纳/不被采纳,阶段3
隐道,3,宗师,智略≥85,百家之宗→万世师表→思想统一,子称号+文化胜利,武力/和平,隐道通关

# ==================== 紧急事件优先级表 ====================
优先级,事件类型,触发条件,通知方式,响应时限,默认后果,是否可拒绝,相关系统
P0存亡攸关,敌国入侵首都,敌军进入首都区域,全屏弹窗+信使,3天内,首都被占→灭国风险,否,战斗系统
P0存亡攸关,君主遇刺/驾崩,君主死亡,全屏弹窗+丧钟,7天内,继承危机→国家动荡,否,政治系统
P0存亡攸关,玩家被刺杀,刺客袭击(成功则死),战斗立即触发,即时,角色死亡→继承,否,角色系统
P1重大危机,大规模叛乱,民忠<20持续3月,信使+HUD警告,15天,叛乱区域独立,否,内政系统
P1重大危机,邻国突然宣战,AI国家开战,边境烽火+HUD,30天,边境领土丢失,否,外交系统
P1重大危机,封地被攻击,敌军/流寇攻击封地,管家急报,10天,封地损失,可(损失封地),封地系统
P2需要关注,重大灾荒,灾害触发,地方上报,15天,人口大量死亡民忠-30,可(仁义-50),事件系统
P2需要关注,家人遇险,家人事件触发,家书,15天,家庭破裂仁义-20,可(仁义-30),角色系统
P2需要关注,部将叛变,忠诚<30将领叛变,亲信来报,无时限,失去部将+情报泄露,可(不及时处理),NPC系统
P3信息通报,国际事件,世界事件触发,消息列表,无需响应,无,可,世界系统
P3信息通报,商机情报,经济波动,商行通报,无需响应,错失商机,可,经济系统
