# ==================== 会盟类型表 ====================
会盟类型,最小参与国,发起国霸业要求,发起国信义要求,会盟持续时间,盟约约束力,违盟信义惩罚,历史原型,特殊效果
合纵会盟,3,30,0,直到威胁解除,极高(歃血),-50,苏秦六国合纵,成员国对威胁国的外交封锁+共同防御
称霸会盟,3,60,0,12~36月,高,-35,齐桓公葵丘会盟,盟主获得霸主称号+霸业+15
互不侵犯会盟,3,0,40,24~48月,高,-30,弭兵之会,多边互不侵犯条约生效
贸易会盟,2,0,30,12~36月,中,-20,无(原创),关税统一降低+商路安全共保
瓜分会盟,2,40,0,直到目标达成,高,-35,三家分晋(类),约定瓜分目标国领土→战后执行
拥立会盟,3,50,30,长期,极高(歃血),-50,诸侯拥立周平王,确认新天子/新秩序→霸业+20
讨伐会盟,3,35,0,3~6月(战争),中,-25,五国伐秦,对目标国发动联合战争

# ==================== 会盟表决规则表 ====================
表决类型,通过门槛,适用决议,失败后果,盟主否决权
简单多数,>50%,常规经济/通商决议,会盟信用-5,有(可一票否决)
绝对多数,>66%,军事/政治决议,会盟信用-10,有(需2/3反对才可推翻)
全员一致,100%,歃血盟约(最高级别),会盟信用-20,无(盟主也必须同意)
盟主裁定,盟主独断,紧急决策(被攻击时),成员不满+20,有(但滥用会加速会盟瓦解)

# ==================== 臣服等级表 ====================
臣服等级,名称,朝贡频率,朝贡金比例,朝贡物资,军事自主权,外交自主权,宗主义务,附庸独立门槛(不满值),升级到下一级条件
1,名义臣服,每年,年收入5%,象征性特产,完全自主,有限制(不能与宗主敌国结盟),不攻击即可,60,无(长期维持)
2,朝贡国,每半年,年收入10%,金+特产+可选质子,防御自主/进攻需批准,需宗主批准重大外交,军事保护(对外),55,宗主兵力>附庸3倍+关系>30
3,附庸国,每季,年收入15%,金+特产+质子+军事支援,需宗主批准,完全由宗主代理,全面军事保护,45,宗主在附庸驻军>1年+关系>40
4,傀儡国,每月,年收入30%,金+全部特产+军事指挥权,无(宗主控制),无,无(傀儡没有权利要求),25,彻底控制>2年+霸业>60
5,行省/郡县,无(直接管辖),全部税收,全部资源归宗主,无(已被吞并),无,无,-,吞并完成

# ==================== 附庸不满来源表 ====================
不满来源,每次不满增量,触发条件,冷却时间_月,可缓解方式
朝贡负担过重,5,每次朝贡后自动检测(朝贡比例>15%时触发),6,降低朝贡比例
宗主不履行保护,20,附庸被攻击但宗主未参战,0(立即),宗主立即参战+道歉+赔偿
宗主干涉内政,8,宗主强制改变附庸政策,3,恢复附庸自治权
额外贡品要求,10,宗主在正常朝贡外要求额外进贡,6,赏赐回礼抵消
宗主军事失败,15,宗主连续3场战役失败,0(立即),宗主取得一场大胜
宗主与其他附庸更亲近,3,宗主给予其他附庸更多赏赐/关注,12,同等对待所有附庸
驻军过多扰民,5,宗主在附庸驻军>附庸人口5%,3,减少驻军或增加军纪约束
长期臣服疲劳,1/月,臣服>5年后自动累积,不可冷却,给予更大自治权或独立谈判
