ID,武器名称,类型,品质,材质,基础伤害,攻击速度_秒,破甲率%,武器长度,重量_石,耐久度,基础价值_金,可用攻击方向,特别要求,国家来源,特殊效果,描述
# === 剑系 ===
WPN_SWORD_01,铜剑,剑,白,铜,30,0.35,5,0.8,1.0,150,120,四方向全,无,通用,无,基础铜制短剑，七国通用制式
WPN_SWORD_02,精铁剑,剑,绿,精铁,42,0.35,12,0.8,0.9,280,350,四方向全,无,通用,武勇+2,淬火精铁锻造，手感沉稳
WPN_SWORD_03,百炼钢剑,剑,蓝,百炼钢,58,0.32,18,0.9,0.8,420,900,四方向全,统率≥30,通用,暴击率+5%/武勇+3,层层折叠锻打，剑身泛着冷光
WPN_SWORD_04,楚式长剑,剑,蓝,精铁,52,0.38,15,1.1,1.2,350,850,左砍/右砍/上劈/刺,魅力≥40,楚国,魅力+4/攻击范围+15%,楚人尚武，剑身修长而有韧劲
WPN_SWORD_05,秦制式剑,剑,绿,铁,45,0.33,10,0.8,0.9,350,400,四方向全,无,秦国,统率+2/暴击率+3%,标准化生产的秦军制式装备
WPN_SWORD_06,齐技击剑,剑,蓝,精铁,48,0.30,12,0.8,0.8,400,800,四方向全,武勇≥35,齐国,攻速+10%/连击伤害+5%,剑身轻盈适合技击连刺
WPN_SWORD_07,魏文士剑,剑,蓝,精铁,50,0.34,12,0.9,0.9,380,780,四方向全,智略≥40,魏国,智略+3/辩论成功率+5%,文士佩剑，象征身份与学识
WPN_SWORD_08,韩精工剑,剑,紫,百炼钢,65,0.28,22,0.8,0.7,500,1800,四方向全,武勇≥50,韩国,暴击率+10%/破甲+5%(精密开刃),宜阳精工打造，剑刃薄如蝉翼
WPN_SWORD_09,燕胡风剑,剑,绿,铁,40,0.36,8,0.9,1.0,300,380,四方向全,无,燕国,耐寒(-30%寒地耐久损耗),燕地苦寒，剑身厚重不易脆裂
WPN_SWORD_10,赵骑战剑,剑,蓝,精铁,55,0.33,14,0.7,0.8,380,820,右砍/刺(马上专用),骑术≥30,赵国,马上伤害+10%/武勇+2,短剑适合马上近身格斗

# === 刀系 ===
WPN_BLADE_01,铜刀,刀,白,铜,38,0.45,3,0.7,1.2,140,100,左砍/右砍/上劈,无,通用,无,基础铜刀，砍击沉重
WPN_BLADE_02,精铁刀,刀,绿,精铁,52,0.45,8,0.7,1.1,260,380,左砍/右砍/上劈,无,通用,武勇+2,精铁锻造的厚背刀
