# ==================== 声望数值表 ====================
声望ID,声望名称,范围最小值,范围最大值,初始值,正面阈值,负面阈值,正面效果,负面效果,特殊事件阈值,特殊事件效果
REP_RENYI,仁义,-100,100,0,60,-30,平民好感+30/招募+25%/民忠+15%,平民好感-30/招募-25%/叛乱+40%,80(万民请愿)/95(圣人之名)/-80(天下共讨),平民自发报信/儒家墨家主动合作/被联合讨伐
REP_XINYI,信义,-100,100,0,60,-30,外交+30%/利率-40%/忠诚+20%,外交-50%/利率+100%/被策反+30%,80(一诺千金)/95(天下信之)/-80(失信之人),口头承诺可代书面盟约/承诺重于条约/说真话也没人信
REP_WUMING,武名,-100,100,0,60,-30,敌士气-15/己士气+10/招募勇将+35%,己士气-10/被轻视,80(威震天下)/95(战神)/-80(笑柄),他国不敢轻易开战/存在即战略威慑/市井嘲笑
REP_BAYE,霸业,0,100,0,60,0,小国臣服+40%/称王称帝条件降低/叛乱-30%,无(霸业低只是不扩张),80(问鼎中原)/100(天命所归),周天子可能主动禅让/天下大势向你倾斜

# ==================== 爵位进阶表 ====================
爵位等级,爵位名称,封地规模,最大建筑位,最大人口,可驻军,年俸_金,晋升条件_击杀数,晋升条件_胜利场次,晋升条件_统率,晋升条件_霸业,晋升条件_其他,特权,是否可世袭
1,士,无,0,0,0,0,0,0,0,0,入仕或从军起,可进入官府/可向君主上书,否
2,大夫,村庄×1,8,500,50,500,100,0,0,0,属国认可,拥有私人封地/可招募门客,否
3,下卿,村庄×3,20,2000,200,1500,500,0,30,0,无,封地扩大/可任免低级官员,否
4,中卿,县城×1,35,5000,500,4000,0,5,45,0,无,参与朝政(投票权)/统领千人军团,否
5,上卿,县城×2,50,12000,1500,10000,0,15,60,0,无,可任国相/上将军/独立外交权,否
6,关内侯,郡城×1,70,30000,5000,30000,0,0,0,30,灭国或史诗成就,食邑(税收归己)/可铸私兵,是
7,列侯,郡城×3,100,80000,15000,80000,0,0,0,60,统一地区,世袭罔替/独立铸币权,是
8,王,全国,全国,全国,全国兵力,0,0,0,0,80,推翻周天子称王,独立国家(开战/结盟/立法),是
9,帝,天下,天下,天下,天下兵马,0,0,0,0,95,统一天下称帝,天下共主(全图统一),是

# ==================== 声望事件影响表 ====================
事件,仁义变化,信义变化,武名变化,霸业变化,触发条件,冷却时间
释放俘虏,+2~+10,+0~+5,0,0,战后选择释放,无
处决俘虏,-5~-15,-0~-5,+3~+8,0,战后选择处决,无
屠城,-50~-100,-20~-40,+20~+40,+10~+20,城破后选择屠城,30天
赈灾,+5~+20,+5~+10,0,0,遇灾荒时花费金粮,30天
撕毁盟约,-10~-30,-30~-60,0,-10~-20,主动背弃盟约,无
灭国,0,+5~+15,+30~+50,+40~+80,消灭一国,无
单挑胜利,0,0,+3~+10,0,单挑中获胜,无
单挑失败,0,0,-5~-15,0,单挑中失败,无
斩杀敌将,-2~-5,0,+5~+15,0,单挑中斩杀,无
被俘,-5~-10,-5~-10,-15~-30,-10~-20,战斗被俘,无
守信履约,+5~+15,+10~+20,0,0,履行承诺时,与承诺关联
违背承诺,-10~-25,-10~-25,0,0,违背承诺时,无
占领城池,0,0,+5~+10,+5~+15,占领敌方城池,无
失去领土,0,0,-5~-10,-10~-30,失去己方城池,无
按时还贷,0,+3~+8,0,0,偿还贷款,与贷款关联
赖账不还,0,-15~-30,0,0,不偿还贷款,无
