# ==================== 品质等级表 ====================
品质等级,品质名称,颜色,品质系数(伤害),特殊效果槽,最大耐久加成,价值倍率,商店出现率(%),掉落率(%),锻造需求工艺,锻造需求科技,描述
0,凡铁,白色,1.00,0,1.0x,1.0x,100,60,0,无,粗糙的铜/铁制武器，战场上最常见的装备
1,精良,绿色,1.25,1,1.3x,2.5x,50,25,25,冶铁术,经过精心锻造的武器，略有品质保障
2,稀有,蓝色,1.55,1-2,1.6x,6.0x,15,10,45,炼钢(工艺T2),名匠打造的优质武器，开始展现特殊效果
3,史诗,紫色,1.90,2-3,2.0x,15.0x,3,3,65,百炼成钢(工艺T3),具有历史意义的武器，每把都有故事
4,传说,金色,2.30,3-4,3.0x,40.0x,0,0(仅任务),80,神兵锻造(工艺T5),传说中的武器，足以改变持有者的命运
5,神话,暗金,2.80,5+,5.0x,无价,0,0(仅终极锻造),95,终极工艺(工艺T8),你亲手创造的神兵，历史将记住你的名字

# ==================== 材质表 ====================
材质ID,材质名称,品质下限,品质上限,伤害修正,耐久基础值,重量修正,破甲加成%,特殊属性,获取难度,主要产地,描述
MAT_COPPER,铜,白,白,1.00,150,1.0,0,无,极低,各地,战国早期主流材质，正在被铁取代
MAT_IRON,铁,白,绿,1.10,250,0.95,3,无,低,各地(宜阳/宛城/邯郸最优),战国中后期主流材质
MAT_REFINED_IRON,精铁,绿,蓝,1.25,350,0.90,8,暴击率+3%,中,韩国宜阳/赵国邯郸/楚国宛城,精选优质铁矿石精炼而成
MAT_HUNDRED_STEEL,百炼钢,蓝,紫,1.45,500,0.85,15,暴击率+5%/耐久消耗-30%,高,韩国宜阳(独有精密百炼钢),反复折叠锻打的精钢
MAT_DAMASCUS,镔铁,蓝,金,1.60,600,0.80,20,特殊效果+1(随机),极高,西域进口(丝绸之路上),来自西域的神秘钢材，花纹如云如水
MAT_METEORIC,陨铁,紫,金,1.80,800,0.75,25,特殊效果+2(随机)/独一无二,传奇,天降陨石(极罕见随机事件),天外陨铁，锻成的武器有星辰之力
MAT_DRAGON_BONE,龙骨,金,神话,2.00,1000,0.70,30,全属性+5/不可损坏,神话,龙脉秘境(隐藏),传说中的龙骨，非人间之物

# ==================== 特殊效果池 ====================
效果ID,效果名称,效果类型,最小品质要求,效果描述,触发条件,数值范围,互斥效果,适合武器类型,描述
EFF_CRIT,暴击强化,战斗,绿,暴击率+N%,常驻,N=3~15%,无,剑/刀/匕首,刀刃更加锋利
EFF_ARMORPEN,破甲,战斗,绿,破甲率额外+N%,命中时,N=5~20%,无,戟/矛/弩,穿透护甲
EFF_BLEED,放血,战斗,蓝,命中后N%概率造成持续伤害,命中时,N=15~40%概率/持续3秒,无,刀/剑,锯齿刀刃撕裂伤口
EFF_KNOCKBACK,击退,战斗,蓝,重击命中可击退敌人,重击命中,N=1~3米,无,戟/锤类,重型武器的冲击力
EFF_LIFESTEAL,吸血,战斗,紫,造成伤害的N%转化为生命,造成伤害时,N=3~10%,无,剑/刀,吸收敌人生命力
EFF_BERSERK,狂暴,战斗,紫,击杀敌人后攻击+N%持续X秒,击杀时,N=10~30%/X=5~15秒,EFF_DEFENSIVE,刀/戟,越战越勇
EFF_DEFENSIVE,坚守,战斗,绿,防御时减伤额外+N%,格挡/持盾时,N=5~15%,EFF_BERSERK,盾/矛,坚守阵地的意志
EFF_SPEED,迅捷,战斗,绿,攻击速度+N%,常驻,N=5~20%,无,匕首/剑/弓,武器轻盈易挥
EFF_POISON,淬毒,战斗,蓝,命中后N%概率施加中毒(每秒-2%HP),命中时,N=15~30%,无,匕首/弩箭,刀上淬有毒药
EFF_FIRE,火焰,战斗,紫,命中后N%概率施加燃烧,命中时,N=10~25%,EFF_POISON,戟/刀,武器附有火油
EFF_COMMAND,统率,属性,绿,统率+N,装备时,N=2~8,无,剑/戟/长兵器,指挥官的象征
EFF_MIGHT,武力,属性,绿,武勇+N,装备时,N=2~10,无,任意,武器使用者的力量
EFF_INTELLECT,智慧,属性,绿,智略+N,装备时,N=2~8,无,剑(文士剑),学者之剑
EFF_CHARISMA,魅力,属性,绿,魅力+N,装备时,N=2~8,无,剑(贵族剑),身份的象征
EFF_ECONOMY,经营,属性,绿,经营+N,装备时,N=2~6,无,刀(商旅刀),商人之刃
EFF_CRAFT,工艺,属性,绿,工艺+N,装备时,N=2~10,无,工匠锤(特殊),工匠的工具
EFF_MORALE,士气,光环,蓝,周围友军士气+N,装备者在战场上,N=3~10,无,剑/戟(将领武器),将领的鼓舞
EFF_FEAR,恐惧,光环,紫,周围敌军士气-N,装备者在战场上,N=3~10,EFF_MORALE,戟/巨剑,威压敌胆
EFF_UNBREAKABLE,不毁,独特,金,武器耐久永不消耗,常驻,无,无,任意,传说级的永恒
EFF_PARRY_MASTER,格挡大师,独特,紫,格挡不需要方向匹配(概率N%),格挡时,N=30~60%,无,剑,自动格挡的直觉
EFF_CAVALRY_BANE,骑兵克星,独特,蓝,对骑兵伤害+N%,攻击骑兵时,N=25~50%,无,戟/长矛,对骑兵特效
