将领ID,姓名,国家,身份,统率,武勇,智略,魅力,经营,工艺,忠诚基础,野心(0-100),性格类型,相性值,专属技能ID,招募难度,初始年龄,寿命,擅长兵种,擅长地形,历史定位,描述
# ==================== 秦国 ====================
GEN_QIN_01,白起,秦,上将军,98,92,88,40,35,20,80,30,激进型,75,SKILL_BAIQI,★★★★★,35,65,重步兵/骑兵,平原/山地,战国杀神,战国四大名将之首，伊阙/长平/鄢郢之战主角，一生70余战未尝败绩
GEN_QIN_02,王翦,秦,上将军,95,80,90,55,45,25,85,20,稳健型,78,SKILL_WANGJIAN,★★★★★,40,72,重步兵/攻城,平原,灭国专家,与白起齐名，灭赵/燕/楚，老谋深算
GEN_QIN_03,蒙恬,秦,将军,88,85,78,60,40,30,90,10,忠诚型,82,SKILL_MENGTIAN,★★★★,30,55,骑兵/重步兵,平原/北疆,北逐匈奴,秦国后期第一名将，北筑长城逐匈奴
GEN_QIN_04,王贲,秦,将军,85,82,72,50,35,20,80,15,激进型,75,无,★★★,28,58,重步兵/攻城,平原,虎父无犬子,王翦之子，灭魏/燕/齐
GEN_QIN_05,司马错,秦,将军,82,75,84,45,50,30,75,25,灵活型,72,SKILL_SIMACUO,★★★,38,62,重步兵/水军,山地/河道,灭蜀名将,秦国灭蜀的统帅，开创了南方战局
GEN_QIN_06,蒙骜,秦,将军,80,70,65,40,35,20,70,20,稳健型,76,无,★★,45,58,重步兵,平原,蒙氏奠基者,蒙恬祖父，秦国统一前的重要将领
GEN_QIN_07,李信,秦,将军,72,80,55,50,30,15,70,40,激进型,65,无,★★,25,50,轻骑兵,平原,轻敌之将,灭燕之战勇猛但伐楚轻敌大败
GEN_QIN_08,王陵,秦,将军,75,70,60,40,30,20,65,25,平庸型,68,无,★★,38,55,步兵,平原,稳健老将,邯郸之战初期统帅
GEN_QIN_09,王龁,秦,将军,78,72,55,35,25,15,65,30,激进型,66,无,★★,35,52,步兵,平原,长平副将,长平之战中配合白起
GEN_QIN_10,张唐,秦,将军,68,65,60,50,30,20,60,20,平庸型,70,无,★,40,55,步兵,平原,普通将领,秦国中层将领
GEN_QIN_11,桓龁,秦,将军,70,68,50,35,25,15,58,35,激进型,62,无,★,32,48,骑兵,平原,赵国之敌,多次伐赵的秦将
GEN_QIN_12,赢疾,秦,宗室将军,75,72,62,55,40,20,85,25,稳健型,74,无,★★,42,58,步兵,平原,宗室名将,秦惠文王之弟

# ==================== 楚国 ====================
GEN_CHU_01,项燕,楚,上将军,90,88,80,65,40,18,88,15,激进型,72,SKILL_XIANGYAN,★★★★,42,60,重步兵/骑兵,平原,楚国长城,楚国最后的名将，项羽祖父，曾击败李信
GEN_CHU_02,昭阳,楚,令尹/上将军,85,75,78,55,50,20,75,20,稳健型,68,SKILL_ZHAOYANG,★★★,40,55,重步兵/水军,河道/平原,灭越之将,楚国灭越的统帅
GEN_CHU_03,景阳,楚,将军,78,72,68,45,35,15,68,25,平庸型,65,无,★★,35,50,步兵,平原,景氏名将,楚国景氏家族的将领
GEN_CHU_04,屈匄,楚,将军,72,68,55,40,30,20,65,30,平庸型,62,无,★★,38,52,步兵,平原,丹阳之败,丹阳之战被秦军击败
GEN_CHU_05,庄蹻,楚,将军/探险家,70,75,60,50,40,25,55,50,野心型,58,SKILL_ZHUANGJIAO,★★★,35,55,轻步兵,山地/丛林,滇国开拓者,楚国将领后自立为滇王
GEN_CHU_06,黄歇,楚,令尹(春申君),45,30,85,92,80,25,80,40,灵活型,65,SKILL_HUANGXIE,★★★★,40,60,无(文官),无,战国四公子,楚国春申君，门客三千
GEN_CHU_07,屈平,楚,三闾大夫,30,20,90,88,50,25,70,15,忠诚型,55,SKILL_QUYUAN,★★★,35,60,无(文官),无,爱国诗人,屈原，楚辞之祖
GEN_CHU_08,景差,楚,大夫,25,15,72,70,40,20,60,20,平庸型,60,无,★★,30,55,无(文官),无,楚辞作家,楚国文官
GEN_CHU_09,宋玉,楚,大夫,20,10,75,75,30,20,55,20,享乐型,58,无,★,25,50,无(文官),无,美男子,屈原弟子，辞赋家
GEN_CHU_10,唐勒,楚,将军,65,62,50,35,25,15,55,25,平庸型,60,无,★,30,45,步兵,平原,普通将领,

# ==================== 齐国 ====================
GEN_QI_01,田单,齐,安平君/上将军,92,70,88,80,60,30,90,10,灵活型,80,SKILL_TIANDAN,★★★★★,38,65,步兵/火攻,平原/城市,火牛阵传奇,即墨之战以火牛阵大破燕军，复齐第一功臣
GEN_QI_02,孙膑,齐,军师,78,25,98,70,30,35,85,5,灵活型,85,SKILL_SUNBIN,★★★★★,35,68,弓兵/轻步兵,山地/森林,兵家圣者,孙武之后，马陵之战诱杀庞涓，著《孙膑兵法》
GEN_QI_03,田忌,齐,将军,80,72,75,65,40,20,75,25,稳健型,72,无,★★★,38,55,骑兵,平原,田忌赛马,齐国名将，与孙膑合作
GEN_QI_04,匡章,齐,将军,82,70,72,55,35,18,68,30,激进型,68,无,★★,40,58,步兵,平原,伐秦燕楚,齐国中期名将
GEN_QI_05,田文,齐,相国(孟尝君),42,25,82,90,85,20,75,45,灵活型,62,SKILL_TIANWEN,★★★★,38,58,无(文官),无,战国四公子,齐国孟尝君，门客三千
GEN_QI_06,晏婴,齐,相国,30,15,88,85,70,18,85,10,忠诚型,70,SKILL_YANYING,★★★,45,65,无(文官),无,齐国贤相,晏子使楚的外交家
GEN_QI_07,邹忌,齐,相国,28,12,82,86,65,20,80,15,灵活型,68,SKILL_ZOUJI,★★★,38,58,无(文官),无,讽谏名臣,齐威王相国，以琴谏王
GEN_QI_08,淳于髡,齐,稷下先生,20,10,85,89,30,25,65,20,享乐型,65,SKILL_CHUNYUKUN,★★★,42,60,无(文官),无,稷下辩士,稷下学宫著名学者
GEN_QI_09,田盼,齐,将军,74,68,55,40,30,15,60,25,平庸型,62,无,★,35,50,步兵,平原,普通将领,
GEN_QI_10,黔夫,齐,将军,70,66,50,35,28,12,58,20,平庸型,60,无,★,32,48,步兵,平原,守边之将,

# ==================== 赵国 ====================
GEN_ZHAO_01,廉颇,赵,上将军,94,88,72,55,35,15,88,15,稳健型,78,SKILL_LIANPO,★★★★★,45,72,重步兵/防御,平原/关隘,战国四大名将,负荆请罪/邯郸保卫战/长平之战前主将
GEN_ZHAO_02,李牧,赵,武安君/上将军,96,86,90,60,40,20,92,10,灵活型,82,SKILL_LIMU,★★★★★,40,58,骑兵/重步兵,草原/北疆,赵国长城,北逐匈奴/对抗秦国，战国四大名将
GEN_ZHAO_03,赵奢,赵,马服君/将军,86,78,82,58,45,22,78,20,骑兵型,75,SKILL_ZHAOSHE,★★★★,42,58,骑兵,平原,阏与之胜,赵括之父，阏与之战大败秦军
GEN_ZHAO_04,赵括,赵,将军(马服子),55,42,68,35,25,12,50,60,激进型(纸上谈兵),58,SKILL_ZHAOKUO,★★,22,25(战死),步兵,平原,纸上谈兵,悲剧人物，长平之战惨败但并非全是他的错
GEN_ZHAO_05,乐乘,赵,武襄君,80,72,68,50,35,15,70,25,平庸型,68,无,★★,38,52,骑兵,平原,乐毅族人,赵国将领，乐毅族人
GEN_ZHAO_06,庞煖,赵,将军,75,70,65,45,30,15,65,30,激进型,60,无,★★,35,55,骑兵/步兵,平原,伐燕之将,赵国后期将领
GEN_ZHAO_07,司马尚,赵,将军,78,74,60,40,28,12,75,15,忠诚型,68,无,★★,35,50,骑兵,北疆,李牧副将,李牧的副手
GEN_ZHAO_08,蔺相如,赵,上卿,25,18,85,90,55,20,90,5,忠诚型,78,SKILL_LINXIANGRU,★★★★,38,60,无(文官),无,完璧归赵,与廉颇"将相和"的完璧归赵主角
GEN_ZHAO_09,平原君(赵胜),赵,相国,35,20,78,88,70,15,80,35,灵活型,65,SKILL_ZHAOSHENG,★★★,42,58,无(文官),无,战国四公子,赵国平原君，邯郸保卫战关键人物
GEN_ZHAO_10,毛遂,赵,门客,20,15,78,72,30,10,65,40,野心型,58,SKILL_MAOSUI,★★,35,55,无(文官),无,毛遂自荐,平原君门客，自荐出使楚国

# ==================== 燕国 ====================
GEN_YAN_01,乐毅,燕,昌国君/上将军,96,80,94,75,55,22,85,20,灵活型,82,SKILL_YUEYI,★★★★★,42,68,重步兵/骑兵/攻城,平原/城市,五国伐齐统帅,率五国联军连下齐70余城
GEN_YAN_02,秦开,燕,将军,82,78,68,50,40,18,72,25,激进型,65,无,★★★,38,55,骑兵,北疆/草原,拓地千里,燕国名将，开拓辽东
GEN_YAN_03,剧辛,燕,将军,76,68,65,42,30,12,68,30,激进型,58,无,★★,38,52,骑兵,平原,伐赵之将,燕国将领，伐赵战死
GEN_YAN_04,乐间,燕,昌国君(袭爵),65,55,62,45,35,15,60,15,平庸型,62,无,★,28,45,步兵,平原,乐毅之子,乐毅之子，袭爵昌国君
GEN_YAN_05,骑劫,燕,将军,45,62,35,30,20,10,50,55,鲁莽型,40,无,★,38,42(战死),骑兵,平原,即墨败将,接替乐毅围攻即墨，被田单火牛阵大败
