产业链ID,产业链名称,环节序号,环节名称,输入原料,输入数量,输出产品,输出数量,所需建筑,建造时间(天),加工损耗(%),经营属性效率加成(每10点),备注
PC_01,铁兵器链,1,采矿,无,0,铁矿石,1,铁矿场,0,0,+5%产出,原料采集
PC_01,铁兵器链,2,冶铁,铁矿石,3,精铁,1,冶铁坊,20,10,+5%效率,3石矿石→1石精铁
PC_01,铁兵器链,3,锻造,精铁,1,兵器_剑,2,兵器坊,25,5,+5%效率,1石精铁可锻2把剑
PC_01,铁兵器链,3,锻造(刀),精铁,1,兵器_刀,2,兵器坊,25,5,+5%效率,1石精铁可锻2把刀
PC_01,铁兵器链,3,锻造(戟),精铁,1.5,兵器_戟,1,兵器坊,25,5,+5%效率,戟消耗更多精铁

PC_02,铁甲链,1,采矿,无,0,铁矿石,1,铁矿场,0,0,+5%产出,原料采集
PC_02,铁甲链,2,冶铁,铁矿石,3,精铁,1,冶铁坊,20,10,+5%效率,
PC_02,铁甲链,3,制甲,精铁+皮革,2+5,铁甲,1,制甲坊,30,8,+3%效率,需要铁+皮双原料

PC_03,百炼钢链,1,采矿,无,0,铁矿石,1,铁矿场,0,0,+5%产出,高级路线
PC_03,百炼钢链,2,冶铁,铁矿石,3,精铁,1,冶铁坊,20,10,+5%效率,
PC_03,百炼钢链,3,炼钢,精铁,5,百炼钢,1,炼钢坊,45,20,+5%效率,5石精铁→1石百炼钢(顶级)

PC_04,弓弩链,1,伐木,无,0,木材,1,伐木场,0,0,+5%产出,
PC_04,弓弩链,2,制弓,木材+筋腱+皮革,3+2+2,兵器_弓,5,制弓坊,15,5,+5%效率,复合弓工艺
PC_04,弓弩链,2,制弩,木材+筋腱+精铁,3+2+1,兵器_弩,3,制弓坊,20,5,+5%效率,弩机更复杂

PC_05,防具链,1,畜牧,无,0,皮革,1,牧场,0,0,+5%产出,
PC_05,防具链,2,制革,生皮,3,鞣革,2,制革坊,10,5,+5%效率,
PC_05,防具链,3,制皮甲,鞣革,5,皮甲,1,制甲坊,15,5,+5%效率,

PC_06,酿酒链,1,种植,无,0,粮食,1,农田,0,0,+5%产出,
PC_06,酿酒链,2,磨面,粮食,2,面粉,1,磨坊,10,5,+5%效率,可选分支
PC_06,酿酒链,2,酿酒,粮食,5,酒,1,酿酒坊,12,8,+5%效率,粮食→酒

PC_07,纺织链,1,养蚕,无,0,生丝,1,桑田,0,0,+5%产出,
PC_07,纺织链,2,织造,生丝,3,丝绸,1,纺织坊,15,5,+5%效率,
PC_07,纺织链,3,刺绣,丝绸,2,锦袍,1,纺织坊,25,8,+5%效率,高级加工

PC_08,制盐链,1,晒盐,无,0,粗盐,1,盐田,0,0,+5%产出,
PC_08,制盐链,2,精制,粗盐,2,海盐,1.5,制盐坊,5,3,+5%效率,提升品质
PC_08,制盐链,3,腌制军粮,海盐+肉干,1+5,军粮(腌制),10,军粮坊,10,5,+5%效率,延长保质期

PC_09,建筑链,1,伐木,无,0,木材,1,伐木场,0,0,+5%产出,
PC_09,建筑链,2,锯木,木材,2,加工木材,1,锯木厂,10,5,+5%效率,
PC_09,建筑链,1,采石,无,0,石材,1,采石场,0,0,+5%产出,
PC_09,建筑链,2,切石,石材,2,加工石料,1,石匠坊,10,8,+5%效率,

PC_10,战车链,1,伐木,无,0,木材,1,伐木场,0,0,+5%产出,
PC_10,战车链,2,锯木,木材,3,加工木材,1.5,锯木厂,10,5,+5%效率,
PC_10,战车链,3,造车,加工木材+精铁+皮革+战马,5+2+8+2,战车,1,木工坊,35,10,+3%效率,最复杂的加工链

PC_11,玉器链,1,采玉,无,0,玉料,1,玉矿场,0,0,+5%产出,蓝田特产
PC_11,玉器链,2,雕琢,玉料,1,玉器,1,玉器坊,30,15,+5%效率,高损耗但高价值

PC_12,漆器链,1,采漆,无,0,生漆,1,漆园,0,0,+5%产出,楚地特产
PC_12,漆器链,2,制漆,生漆,2,精漆,1,漆器坊,10,8,+5%效率,
PC_12,漆器链,3,漆绘,精漆+木材,1+2,漆器,1,漆器坊,20,10,+5%效率,脱胎/木胎工艺
