# ==================== 七大分支62项通用科技完整配置 ====================
科技ID,科技名称,分支,时代,等级,前置科技,交叉前置,研发天,花费金,解锁建筑,解锁兵种,解锁政策,解锁指令,农业%,商业%,军事攻%,军事防%,行政%,科技速%,民忠影响,特殊效果描述,灵感触发,历史参考,韩国专属,秦国专属,楚国专属

# --- 军事(10项) ---
MIL_T1,铁兵器,军事,1,1,无,无,60,3000,冶铁坊(前置),T2兵种全系列,无,无,0,0,15,0,0,0,0,武器伤害+15%解锁铁制兵器铜兵退役,缴获敌方铁制武器,铁器取代青铜,研发-30%费用,费用-25%标准化,宛城铁矿额外+5%
MIL_T2,弩机,军事,1,2,铁兵器,无,90,5000,制弩坊,弩兵T2,无,无,0,0,破甲+20%射程+15%,0,0,0,0,弩破甲+20%射程+15%解锁弩兵,守城击退3波敌军,韩国劲弩天下第一,基础破甲40%(+20%),无,无
MIL_T3,骑兵革新,军事,1,2,无,无,90,6000,马场改良,重骑兵T2,无,无,0,0,冲锋+25%,0,0,0,0,骑兵冲锋+25%解锁重骑兵移速+10%,骑兵侧翼突破,胡服骑射,无,无,无
MIL_T4,连弩,军事,2,3,弩机,无,150,12000,无,连弩兵T3,无,箭雨指令,0,0,射速+60%,0,0,0,0,解锁连弩3连发射速+60%弹药消耗×2,守城击退5波,诸葛亮改良(后世),T4可研发,T5可研发,无
MIL_T5,攻城器械,军事,2,3,铁兵器+骑兵,无,180,18000,器械制造所,投石机冲车井阑,无,器械指令,0,0,攻城效率+40%,0,0,0,0,解锁投石机冲车井阑三种器械,围城30天以上无法破城,战国攻城技术进步,宜阳精铁器械+15%伤害,标准化器械费用-20%,无
MIL_T6,精铁甲,军事,2,3,铁兵器,无,120,10000,制甲坊高级,T3兵种全系列,无,无,0,0,0,25,0,0,0,士兵防御+25%重甲移速惩罚-15%,损失精锐部队后触发,铁甲取代铜甲,精铁甲防御额外+5%,无,无
MIL_T7,筑城术,军事,3,5,攻城器械,无,150,10000,砖石城墙瓮城,无,无,无,0,0,0,守城+20%,0,0,0,城防上限+50%守城伤亡-20%围城时间延长,被攻破一座城池后触发,筑城技术,守城加成翻倍(防韩国),函谷关级要塞,无
MIL_T8,火器初探,军事,4,7,连弩+攻城,无,300,50000,火药工坊,火铳兵T5架空,无,火药指令,0,0,火攻+100%城防伤害+50%,0,0,0,火药武器时代超前解锁,连续3次成功火攻,宋代以后/架空,无,无,无
MIL_T9,军事学院,军事,3,6,精铁甲+筑城术,察举制(政治T3),200,20000,军事学院,无,无,系统化训练指令,0,0,10,10,0,0,0,全军经验获取+30%军官培养加速,连续3场战役胜利,专业化军事教育,无,标准化训练额外+10%效率,无
MIL_T10,终极战争,军事,4,8,军事学院+火器初探,无,360,80000,帝国军械库,终极兵种各1种,总动员政策,总动员指令,0,0,20,15,0,0,0,所有军事科技效果+20%解锁"总动员",统一完成+40项科技,终极军事形态,精密兵工厂(传说品质),大秦锐士终极版,无

# --- 航海(6项) ---
NAV_T1,造船基础,航海,1,1,无,无,50,2000,船坞,走舸/T1战舰,无,无,0,0,0,0,0,0,0,解锁基础船只建造,在河流边建城,造船技术萌芽,无,无,造船时间-20%(长江经验)
NAV_T2,近海航行,航海,1,2,造船基础,市集(经济T1),80,4000,无,蒙冲,T2战舰,无,沿海贸易指令,0,商业+5%(沿海城),0,0,0,0,0,解锁近海航行沿海贸易开始,拥有首座沿海城池,近海经验积累,无,无,沿海贸易+10%
NAV_T3,远洋探索,航海,2,3,近海航行,历法(文化T4),150,12000,无,斗舰T3战舰,无,远洋探索指令,0,商业+10%(远洋),0,0,0,0,0,解锁远洋航行新海域可探索,完成5次近海贸易,远洋时代开启,无,无,远洋勇气+20%速度
NAV_T4,制海权,航海,2,4,远洋探索,骑兵革新(军事T3),180,18000,海军基地,无,制海权政策,海上封锁指令,0,0,水军战力+25%,0,0,0,0,水军全属性+25%可实施海上封锁,水战中击沉10艘敌舰,海权时代,无,无,长江制海权+20%(主场)
NAV_T5,旗舰建造,航海,3,5,制海权,铸造(工艺T3),220,28000,旗舰船坞,楼船T4旗舰,无,旗舰指令,0,0,0,旗舰防御+40%,0,0,0,解锁旗舰建造(每国限1艘),水战胜利且旗舰存活,楼船/旗舰,无,无,艨艟旗舰(楚独有)
NAV_T6,全球探索,航海,4,7,旗舰建造+远洋探索,海贸(经济T7),350,60000,皇家天文台,无,全球霸权(外交),环球航行指令,0,全球贸易+50%,0,0,0,0,0,解锁全球范围探索终极海军,发现新大陆(架空),大航海时代/架空,无,无,无

# --- 医学(6项) ---
MED_T1,草药学,医学,1,1,无,无,40,1500,药铺,无,无,无,0,0,0,0,0,0,0,伤兵恢复+15%基础药材辨识,采集到10种不同药材,神农尝百草,无,无,楚地药材丰富+20%
MED_T2,解剖基础,医学,1,2,草药学,无,90,4000,解剖室,无,无,无,0,0,0,0,0,0,0,伤兵恢复+25%手术成功率基础,治疗重伤士兵>100人,古代解剖学萌芽,无,无,无
MED_T3,外科手术,医学,2,3,解剖基础,铸造(工艺T3),150,8000,手术室,无,无,战地医疗指令,0,0,0,0,0,0,0,重伤康复率+40%截肢手术解锁,战争后治疗大量伤兵,华佗外科/架空,精密手术器械(铸造优势),无,无
MED_T4,防疫体系,医学,2,4,外科手术,水利灌溉(农业T3),180,12000,隔离所,无,防疫政策,隔离指令,0,0,0,0,0,0,瘟疫-60%,瘟疫概率大幅下降隔离机制,经历重大瘟疫>1000人死亡,古代防疫/隔离,无,无,无
MED_T5,药物化学,医学,3,5,防疫体系,炼钢(工艺T2),200,18000,药局,无,无,药物研发指令,0,0,0,0,0,0,全民健康+20%,解锁药物研发新药配方,连续研发3种新药,古代化学/架空,精密提纯+30%药效,无,无
MED_T6,公共卫生,医学,4,7,药物化学+防疫体系,公共卫生政策,280,35000,公共卫生系统,无,公共卫生(法律),全民健康管理,0,0,0,0,0,0,瘟疫免疫+全民寿命+10,公共卫生体系建立全民健康覆盖,全民满意度>80,现代公共卫生/架空,无,无,无
