# ==================== 历史纵横家NPC表 ====================
NPC_ID,NPC名称,国家归属,学派,魅力,智略,统率,武勇,经营,工艺,专属技能,技能效果,获取任务,获取难度,维护费_金_月
DIP_01,苏秦,周(游走各国),纵横家,98,95,50,30,55,20,合纵之主,主导合纵→各国接受率+30%,纵横学派任务链→寻找鬼谷子→游说六国,极高(★★★★★),500
DIP_02,张仪,秦(原魏),纵横家,95,97,55,25,60,25,连横之策,分化合纵成功率+40%/欺诈承诺对方相信率+50%,秦国外交招募→远交近攻任务,极高(★★★★★),600
DIP_03,公孙衍,魏/韩,纵横家,92,90,70,55,40,30,犀首之威,谈判时武力威胁效果+25%,魏国招募或游说任务,高(★★★★),400
DIP_04,苏代,周/齐,纵横家,90,88,35,20,50,15,兄业继承,师从苏秦→获得苏秦80%能力,苏秦任务线→兄弟分支,中(★★★),300
DIP_05,陈轸,楚/齐,纵横家,88,90,40,30,45,25,画蛇添足,用比喻让对方自我怀疑→拒绝概率-25%,楚国招募或稷下学宫,中(★★★),350
DIP_06,淳于髡,齐,杂家/辩士,89,85,30,25,40,35,隐语讽谏,用隐语游说→君主反感度-30%,齐国稷下学宫招募,中(★★★),300
DIP_07,范雎,秦(原魏),纵横/法家,90,94,65,35,70,20,远交近攻,提出此策→秦同意概率+50%,秦国任务→入秦为客卿,高(★★★★),450
DIP_08,鬼谷子,隐居(鬼谷),纵横家,100,100,80,70,60,50,纵横之祖,教导纵横向技能→弟子游说能力+25%,地图隐藏→找到鬼谷,极高(★★★★★),0(不收钱)

# ==================== 游说策略表 ====================
策略ID,策略名称,成功率修正,关系影响,花费,副作用,适合场景
STRAT_01,晓之以利,1.10,±0,0,对方可能要求更多,利益明显的提案
STRAT_02,动之以情,1.05,+5,0,需要长期关系维护,与友好国家的提案
STRAT_03,胁之以威,1.15,-20,0,仁义-2/次,对方国力弱小时
STRAT_04,晓之以理,1.00,+5(仁义),0,成功率偏低,对方智略高时反而有效
STRAT_05,诱之以利(行贿),1.20,±0,1000-5000金,可能暴露(30%概率),紧急需要推动提案时

# ==================== 间谍任务类型表 ====================
任务ID,任务名称,间谍类型,所需潜伏时间_天,基础成功率(%),暴露风险(%),最高成功率(%),花费_金,智略要求,可能后果(失败时),情报/破坏效果
SPY_01,收集物价情报,生间/因间,5,90,5,98,100,30,被驱逐,获得目标城完整物价表
SPY_02,收集民忠情报,生间/因间,10,85,8,95,200,35,被驱逐,获得目标城民忠+满意度
SPY_03,侦查驻军数量,生间,15,75,15,90,300,45,被扣留审问,获得目标城驻军大致数量(精度±20%)
SPY_04,侦查军事调动,生间,20,65,20,85,500,55,被扣留/被杀,获得敌军移动方向和兵力
SPY_05,获取科技情报,生间/内间,30,55,25,80,800,60,被扣留→两国关系-10,获知目标国科技进度
SPY_06,获取外交秘密,内间,35,45,30,70,1500,70,被处决(内间被发现),获知秘密条约内容
SPY_07,策反敌方官员,内间,25,40,35,65,2000,75,官员告发→间谍被处决,成功→该官员成为内应
SPY_08,焚烧粮仓,死间,20,35,50,55,1000,65,间谍死亡,敌城军粮-30~60%
SPY_09,破坏武库,死间,25,30,55,50,1200,70,间谍死亡,敌城武器/装备-20~40%
SPY_10,破坏城门,死间,30,25,60,45,1500,75,间谍死亡,攻城时该城门耐久-30%
SPY_11,刺杀君主,死间,45,10,80,25,10000,90,间谍死亡→两国关系-80,目标君主死亡→继承危机
SPY_12,刺杀名将,死间,35,15,75,30,5000,85,间谍死亡→两国关系-50,目标名将死亡
SPY_13,离间君臣,反间/内间,30,40,30,70,2000,80,被反制→我方情报泄露,目标将领忠诚-20~50
SPY_14,传播假情报,死间/反间,20,45,40,65,800,60,假情报未被采信,敌方根据假情报做出误判
SPY_15,策反敌方间谍,反间,10,35,20,70,500,70,被对方反杀,敌方间谍变成双面间谍
