# ==================== 城池等级表 ====================
城池等级,名称,人口容量,农业上限,商业上限,技术上限,城防上限,治安基础,建设位,升级条件,典型城池,月维护费_金
1,村庄,500,60,30,10,10,70,8,默认,随机村庄,50
2,乡镇,2000,80,50,20,25,65,20,人口>1500+农业>30,小县治所,200
3,县城,5000,100,80,40,50,60,35,人口>4000+商业>30+城防>20,各县治所,500
4,郡城,15000,120,100,70,80,55,70,人口>10000+全数值>50,各郡治所,1500
5,都城,30000+,150,120,100,100,50,100,特殊地位(为国都),七国都城,3000

# ==================== 城市专业化表 ====================
专业化ID,名称,农业修正,商业修正,军事修正,科技修正,说明,适合城池条件
SPEC_01,农业城,+25%,-10%,±0,±0,粮仓型,平原/河谷+农业基础>50
SPEC_02,商业城,-15%,+30%,-10%,+5%,贸易型,交通枢纽+商业基础>50
SPEC_03,军事城,-10%,-15%,+25%,-10%,要塞型,边境/关隘+城防基础>40
SPEC_04,科技城,-10%,+10%,-10%,+30%,学术型,有学宫+技术基础>40
SPEC_05,综合城,±0,±0,±0,±0,均衡型,任意

# ==================== 内政指令表 ====================
指令ID,指令名称,类别,消耗金,消耗资源,效果,耗时_月,冷却_月,限制条件,负责官员属性
CMD_01,开垦农田,开发,500,200劳力,农业+3~8,1,0,需平原/河谷,经营
CMD_02,兴修水利,开发,2000,500劳力,农业+10~15(全城),3,12,需河流/湖泊,工艺
CMD_03,发展商业,开发,800,无,商业+2~6,1,0,治安>40,经营
CMD_04,修建道路,开发,1500,200劳力,商业+5/移速+10%,2,6,连接至其他城池,工艺
CMD_05,兴建学堂,开发,3000,无,技术+8/文化+5,3,0,Lv3+城池,智略
CMD_06,修筑城墙,开发,1000,300石料,城防+5~15,2,0,无,工艺
CMD_07,招募驻军,开发,1000,300人口,驻军+300,1,0,人口>500,统率
CMD_08,安抚民心,开发,300,50粮食,民忠+3~8,1,0,民忠<80,魅力
CMD_09,强化治安,开发,500,无,治安+5~10,1,0,治安<80,统率
CMD_10,搜索人才,开发,200,无,概率发现在野人士,1,0,无,魅力/智略
CMD_11,征收粮税,征调,无,无,获得农业值×系数(金),0,1,无(副作用:民忠-2~5),经营
CMD_12,征调劳力,征调,无,无,获得临时劳力,0,2,无(副作用:民忠-3~8),统率
CMD_13,征兵,征调,200/百人,100人口/百人,征召士兵,1,1,人口>500(副作用:民忠-3~10),统率
CMD_14,紧急征粮,征调,无,无,立即获得大量粮食,0,6,无(副作用:民忠-10~20),统率
CMD_15,赈灾,特殊,视灾情,大量粮食,民忠+10~20+仁义声望+,0,无,灾荒事件触发时,魅力
CMD_16,戒严,特殊,200/月,无,治安+30/商业-50%,0,3,治安<30或战争,统率
CMD_17,祭祀天地,特殊,5000,无,祈祷风调雨顺(灾荒概率-20%),0,12,每年初,魅力
CMD_18,移民,特殊,1000,500人口,从A城移民到B城,1,3,两城人口差距大,经营

# ==================== 灾害表 ====================
灾害ID,灾害名称,年基础概率(%),农业影响,人口影响,商业影响,民忠影响,城防影响,持续时间_月,减灾科技,赈灾效果
DIS_01,旱灾,8,-50%,±0,±0,-15,±0,3~6,水利灌溉(-30%概率),赈灾+民忠+15
DIS_02,洪水,6,-30%,-5%,-10%,-10,-20%,1~3,都江堰模式(-50%概率),赈灾+重建
DIS_03,蝗灾,4,-70%,±0,±0,-20,±0,2~4,几乎无法预防,大量赈灾+民忠+20
DIS_04,瘟疫,3,±0,-10~30%,-50%,-25,±0,3~6,医学(-40%概率),药材+医馆+隔离
DIS_05,地震,1,±0,-10%,-20%,-10,-30%,1,几乎无法预防,灾后重建(花费大)
DIS_06,火灾,5,±0,±0,-20%,-5,-5%,1,治安/官衙(-30%概率),消防+重建
