# ==================== 武器锻造配方表 ====================
配方ID,成品名称,成品品质,武器类型,所需工艺,所需科技,材料1,材料1数量,材料2,材料2数量,材料3,材料3数量,特殊材料,锻造时间_天,基础成功率(%),最高成功率(%),冷却_天,可量产,专属国家,描述
# --- 剑系锻造 ---
REC_SWORD_01,铜剑,白,剑,0,无,铜锭,3,木材(柄),1,无,0,无,1,95,100,0,是,通用,基础铜剑锻造
REC_SWORD_02,精铁剑,绿,剑,25,冶铁术,精铁锭,3,木材(柄),1,皮革(缠柄),1,无,3,75,95,0,是,通用,精铁剑锻造
REC_SWORD_03,百炼钢剑,蓝,剑,45,炼钢,百炼钢锭,4,硬木(柄),1,皮革(缠柄),2,无,7,55,85,3,是,通用,百炼钢剑锻造(重复折叠锻打)
REC_SWORD_04,韩精工剑,紫,剑,70,百炼成钢,百炼钢锭,6,黑檀木(柄),1,丝线(缠柄),3,韩国精炼剂,14,40,75,7,限量(每月3把),韩国,韩国精密锻造工艺
REC_SWORD_05,秦制式剑,绿,剑,20,冶铁术,铁锭,3,木材(柄),1,无,0,无,2,85,95,0,是(秦国效率+30%),秦国,秦国标准化制式剑
REC_SWORD_06,齐技击剑,蓝,剑,40,冶铁术,精铁锭,3,轻木(柄),1,丝线(缠柄),2,齐国剑术心得,5,60,85,3,限量,齐国,适合技击的轻剑

# --- 刀系锻造 ---
REC_BLADE_01,铜刀,白,刀,0,无,铜锭,4,木材(柄),1,无,0,无,1,95,100,0,是,通用,基础铜刀
REC_BLADE_02,精铁刀,绿,刀,25,冶铁术,精铁锭,4,硬木(柄),1,皮革(缠柄),1,无,3,75,95,0,是,通用,精铁刀锻造
REC_BLADE_03,百炼钢刀,蓝,刀,45,炼钢,百炼钢锭,5,硬木(柄),1,皮革(缠柄),2,无,7,55,85,3,是,通用,百炼钢刀锻造
REC_BLADE_04,赵骑战刀,蓝,刀,40,冶铁术+骑兵革新,精铁锭,4,鹿角(柄),1,马鬃(缠柄),2,代郡陨铁碎片(可选→品质+1),5,50,80,3,限量,赵国,赵国骑兵专用刀
REC_BLADE_05,秦重斩刀,蓝,刀,45,冶铁术,精铁锭,5,硬木(柄),1,皮革(缠柄),2,秦国重斩刀图纸,6,50,80,3,限量,秦国,秦国重刀

# --- 戟系锻造 ---
REC_HALB_01,铜戟,白,戟,5,无,铜锭,5,木材(长柄),2,无,0,无,2,90,100,0,是,通用,基础铜戟
REC_HALB_02,精铁戟,绿,戟,30,冶铁术,精铁锭,5,硬木(长柄),2,皮革(缠柄),1,无,4,70,90,0,是,通用,精铁戟锻造
REC_HALB_03,百炼钢戟,蓝,戟,50,炼钢,百炼钢锭,6,铁木(长柄),2,皮革(缠柄),2,无,8,50,80,5,是,通用,百炼钢戟锻造
