# ==================== 十家学派表 ====================
学派ID,学派名称,核心思想,代表人物,代表著作,发源地,被动BUFF,解锁政策,专属技能,冲突学派,盟友学派,加入条件
SCHOOL_01,儒家,仁义礼智信/以德治国,孔子/孟子/荀子,《论语》《孟子》,鲁,民忠+10/官员忠诚+15%,宽政/礼乐复兴/独尊儒术,教化:辩论成功率+30%,法家,墨家,仁义≥30+智略≥40
SCHOOL_02,法家,以法治国/不别亲疏,商鞅/韩非/李斯,《商君书》《韩非子》,秦/韩,治安+15/行政效率+20%,重农抑商/连坐法/郡县制/盐铁专营,变法:改革成功+30%,儒家,兵家,智略≥45
SCHOOL_03,墨家,兼爱非攻/尚贤节用,墨子/禽滑厘,《墨子》,宋/鲁,建设速度+25%/防御战优势+20%,节用/非攻/尚贤,守城术:守城伤亡-25%,名家,儒家,仁义≥40+工艺≥30
SCHOOL_04,道家,无为而治/道法自然,老子/庄子,《道德经》《庄子》,楚/周,人口增长+15%/民忠缓慢提升,无为而治/小国寡民/减税,清静:叛乱概率-40%,法家,阴阳家,智略≥50
SCHOOL_05,兵家,兵者国之大事/知己知彼,孙武/孙膑/吴起,《孙子兵法》,齐/魏,全军士气+10/训练速度+20%,军功爵制/职业军队/全民皆兵,兵法:指挥内全属性+5%,无,法家,统率≥30或武勇≥30
SCHOOL_06,纵横家,合纵连横/三寸舌取天下,苏秦/张仪/鬼谷子,《鬼谷子》,周/魏,外交成功率+20%/使者效率+30%,合纵连横/远交近攻/开放外交,游说:高级游说技巧,无,无,魅力≥50
SCHOOL_07,名家,名实之辩/逻辑推演,公孙龙/惠施,《公孙龙子》,赵/魏,辩论优势+25%/科技概念突破+,逻辑学/名实之辩,诡辩:辩论失败可重来,墨家,道家,智略≥55
SCHOOL_08,阴阳家,阴阳五行/天人感应,邹衍,《邹子》,齐,灾害预测+40%/历法精确,五德终始说/历法改革,观天:提前2天预知天气,无,道家,智略≥50
SCHOOL_09,农家,重农务本/与民并耕,许行,无(口述),楚,农业产出+20%/粮食消耗-10%,重农抑商/屯田制/井田复古,耕作:所在城池农业+30%,无,墨家,经营≥30或工艺≥30
SCHOOL_10,杂家,兼儒墨合名法/综合百家,吕不韦/刘安,《吕氏春秋》,秦/齐,全属性+5%/可多激活1张政策卡,兼容并包,博采:向其他学派学习30%效果,无,所有学派,已加入≥2个学派

# ==================== 历史变法表 ====================
变法ID,变法名称,发起国,发起者,核心内容,受益群体,受损群体,改革力度,反对强度,历史结果,触发条件,变法令效果
REFORM_01,商鞅变法,秦,商鞅,废井田开阡陌/军功爵/连坐法/重农抑商/郡县制,农民/士兵/国君,旧贵族/世卿/商人,90,80,成功(秦强)但商鞅被车裂,秦+法家+商鞅加入+君主支持,农业+30%/军功爵制解锁/郡县制解锁/连坐法解锁
REFORM_02,吴起变法,楚,吴起,削贵族/强军备/明法审令,国君/士兵,楚国大贵族,80,85,半成功(楚强)但吴起被射杀,楚+吴起加入+楚悼王在位,贵族特权-50%/军事预算+30%/法令统一
REFORM_03,胡服骑射,赵,赵武灵王,改穿胡服/学骑射/建骑兵,骑兵/边境民众,传统贵族/中原文化派,65,55,成功(赵强)但武灵王被困死,赵+赵武灵王+与游牧交战经验,骑兵战力+20%/骑兵招募-30%/解锁胡服骑射政策
REFORM_04,申不害变法,韩,申不害,术治/吏治改革/考核制度,国君/中层官僚,贵族/大官僚,50,40,半成功(韩中兴)申不害善终,韩+申不害加入,官员效率+25%/行政成本-20%/考核制解锁
REFORM_05,李悝变法,魏,李悝,尽地力/平籴法/法经,农民/小地主,大贵族/奸商,55,45,成功(魏初霸)李悝善终,魏+李悝加入,农业产出+20%/粮价控制+/法律体系化
REFORM_06,邹忌改革,齐,邹忌,广开言路/赏罚分明,士人/中层官员,腐败官僚,40,30,成功(齐中兴)邹忌善终,齐+邹忌加入+君主支持,人才选拔+30%/官员贪污-25%/进谏渠道+
