# ==================== 七种招募渠道配置表 ====================
渠道ID,渠道名称,适用将领类型,基础成功率(%),玩家等级修正,国家匹配修正,声望修正,关系修正,特殊条件,冷却_天,渠道描述,历史参考
CH_01,在野拜访,在野/隐居将领,40,角色等级/100,无,+仁义/200,+好感/200,需要亲自前往将领所在地,无,亲自登门拜访诚意邀请,刘备三顾茅庐
CH_02,登用推荐,已有部下推荐的将领,50,+魅力/200,+本国匹配+10%,+信义/200,+推荐人与目标好感/100,需有部下与该将领有旧,30,通过现有人脉推荐招募,鲍叔牙推荐管仲
CH_03,战场招降,被击败的敌军将领,30,+武勇/300,+战胜国对败将+5%,+仁义/300(善待降将),被俘时-10%(抵触),战后选择"招募"选项,无,战后收降败军之将,曹操收降张辽
CH_04,军功提拔,低级军官/士兵,80,+统率/200,+本国(自己部下),+武名/300,无,该部下累积足够战功,无,从自己的部队中提拔英才,吴起提拔勇士
CH_05,外交招募,外国流亡/失意将领,25,+魅力/150,+本国比其母国强+15%,+信义/150,+提供条件(金/爵位/封地),需要外交渠道/间谍接触,60,从其他国家挖角人才,秦用范雎(魏人)
CH_06,慕名而来,对玩家声望仰慕者,20,自动触发(条件满足),+无(自动判断),+四维声望各/200(取最高),无,玩家声望达到阈值→自动来投,无(触发式),名声远播→人才自来,燕昭王黄金台求贤
CH_07,事件招募,与特定事件绑定的将领,一次性的剧情招募,事件决定,事件决定,事件决定,事件决定,完成特定事件链/任务,无(事件唯一),通过历史事件或隐藏任务获得,信陵君窃符救赵(事件)

# ==================== 各将领推荐招募渠道与条件表 ====================
将领姓名,国家,推荐渠道1,渠道1条件,推荐渠道2,渠道2条件,在野位置(如果在野),招募难度,无法招募的情况,最佳招募时机
# --- 秦国 ---
白起,秦,军功提拔,玩家已为秦国将军+统率≥60+完成5场胜利,慕名而来,武名≥85+霸业≥60+玩家已为秦国君主,咸阳(如果秦未灭),★★★★★,秦灭后白起可能死亡(历史事件),秦国崛起期(昭襄王时期)
王翦,秦,军功提拔,玩家已为秦国高级将领+秦始皇在位+统率≥70,慕名而来,武名≥80+霸业≥70+秦国为最强国,咸阳,★★★★★,秦王猜忌(需索田宅自污),秦国统一关键期
蒙恬,秦,军功提拔,玩家为秦国高级将领+北方边境有匈奴威胁,登用推荐,蒙骜在玩家手下+与蒙骜好感≥80,咸阳,★★★★,秦已灭(不灭就无法招募),秦始皇时期
王贲,秦,军功提拔,玩家为秦国将军+王翦在玩家手下,战场招降,战败王贲+仁义≥50+释放后招降,秦军,★★★,王翦未死/好感低→王贲不降,秦国后期
司马错,秦,在野拜访,玩家到达巴蜀/汉中地区+统率≥45,登用推荐,白起推荐+白起在玩家手下,陇西/汉中,★★★,秦已过于扩张(国力不足时不出山),秦国中期
李信,秦,军功提拔,玩家为秦国年轻将领+曾参与灭燕之役,战场招降,战败李信+承诺不追究伐楚之败,秦军,★★,伐楚大败后→李信声望跌→容易招募但忠诚低,秦国中期
# --- 楚国 ---
项燕,楚,在野拜访,楚国面临亡国危机+玩家统率≥60+仁义≥50,战场招降,打败项燕但未灭楚→可劝降(极难成功),郢都/会稽,★★★★★,楚国已灭→项燕自杀(历史事件),楚国灭国危机时(最后一战前)
黄歇(春申君),楚,登用推荐,玩家魅力≥70+已有楚国贵族推荐,慕名而来,信义≥80+名声远播+楚国政治稳定,郢都,★★★★,楚国政治混乱时→黄歇可能出国,楚考烈王时期
