# ==================== 科技树完整数据表 (扩展版) ====================
科技ID,科技名称,分支,时代,等级,前置科技,交叉前置,研发时间_天,花费_金,解锁建筑,解锁兵种,解锁政策,解锁指令,农业产出修正(%),商业收入修正(%),军事伤害修正(%),军事防御修正(%),行政效率修正(%),科技速度修正(%),民忠修正,解锁效果描述,灵感触发条件,历史参考

# ==================== 农业科技 ====================
TECH_AGRI_01,铁犁牛耕,农业,古典,T1,无,无,60,3000,冶铁坊(前置),无,无,无,20,0,0,0,0,0,0,农业产出+20%可开垦硬质土地,连续开垦3块新田,春秋战国铁农具普及
TECH_AGRI_02,轮作休耕,农业,古典,T2,铁犁,无,90,5000,无,无,无,无,15,0,0,0,0,0,0,农业产出+15%土地退化-50%人口承载力+10%,连续5年农业丰收,古代轮作技术
TECH_AGRI_03,水利灌溉,农业,古典,T3,轮作,无,120,8000,水利工程,无,无,无,10(沿河农田),0,0,0,0,0,0,旱灾概率-30%沿河农田额外产出,建造3座水利设施,西门豹治邺/郑国渠前身
TECH_AGRI_04,都江堰模式,农业,争鸣,T4,水利,无,180,20000,都江堰(超级工程1座),无,无,无,25,0,0,0,0,0,0,农业+25%洪水-50%(限1条河),遭受过1次大洪水后触发灵感,李冰父子/都江堰
TECH_AGRI_05,郑国渠,农业,争鸣,T5,都江堰,无,210,30000,郑国渠(秦国专属),无,无,无,40(仅关中),0,0,0,0,0,0,关中农业产出+40%秦国专属,韩国间谍来秦献策(自动剧情),韩"疲秦计"→秦反用
TECH_AGRI_06,良种选育,农业,争鸣,T4,轮作+水利,无,150,12000,无,无,无,无,15(质量),0,0,0,0,0,0,粮食质量+15%人口承载力+20%饥荒恢复+50%,经历过1次饥荒后触发灵感,古代选种技术
TECH_AGRI_07,梯田技术,农业,帝国,T5,水利,无,120,7000,梯田(山地新农田类型),无,无,无,0(新增可耕地+30%),0,0,0,0,0,0,丘陵/山地可开发农田水土保持,在丘陵地形建造3座农田后触发,南方山区农业开发
TECH_AGRI_08,农政全书,农业,帝国,T6,良种+梯田,无,240,25000,无,无,农业政策槽+1,无,15(全国),0,0,0,0,0,免疫轻度旱灾,全国农业产出+15%农业政策额外槽,完成全部农业科技(属总结性科技),集大成/贾思勰《齐民要术》

# ==================== 军事科技 ====================
TECH_MIL_01,铁兵器,军事,古典,T1,无,无,60,3000,冶铁坊(解锁),T2兵种(全系列),无,无,0,0,15,0,0,0,0,武器伤害+15%解锁铁制兵器,赢得1场以少胜多的战斗,战国铁兵器取代青铜
TECH_MIL_02,弩机,军事,古典,T2,铁兵器,无,90,5000,制弩坊,弩兵(T2),无,无,0,0,远程破甲+20%,0,0,0,0,弩破甲+20%射程+15%解锁弩兵,用弓兵击败重甲敌军时触发灵感,韩国劲弩天下第一
TECH_MIL_03,骑兵革新,军事,古典,T2,无,无,90,6000,马场(改良),重骑兵(T2),无,无,0,0,骑兵冲锋+25%,0,0,0,0,骑兵冲锋+25%解锁重骑兵移速+10%,用骑兵完成一次侧翼突破,赵武灵王胡服骑射
TECH_MIL_04,连弩,军事,争鸣,T3,弩机,无,150,12000,无,连弩兵(T3),无,箭雨指令,0,0,射速+60%,0,0,0,0,解锁连弩兵3连发射速+60%,守城时使用弩兵击退3波敌军,诸葛亮改良(后世)
TECH_MIL_05,攻城器械,军事,争鸣,T3,铁兵器+骑兵,无,180,18000,器械制造所,投石机/冲车/井阑,无,器械指令,0,0,攻城效率+40%,0,0,0,0,解锁投石机/冲车/井阑,围城30天以上无法攻破时触发,战国攻城技术进步
TECH_MIL_06,精铁甲,军事,争鸣,T3,铁兵器,无,120,10000,制甲坊(高级),T3兵种(全系列),无,无,0,0,0,25,0,0,0,士兵防御+25%重甲移速惩罚-15%,在战场上损失一支精锐部队后触发,铁甲取代铜甲
TECH_MIL_07,筑城术,军事,帝国,T4,攻城器械,无,150,10000,砖石城墙/瓮城,无,无,无,0,0,0,0(守城+20%),0,0,0,城防上限+50%守城伤亡-20%,被攻破一座城池后触发,筑城技术
